Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,212.425,5145024790528,85.2,214.5,16.07,-9.78,48.47,207.41,189.19,True,True,True,HIGH CONVICTION DIP BUY,True,70.25,POSITIVE,5,"SpaceX just took Palantir's top spot with one of the most excessive valuation multiples in megacap tech | Why the biggest ""Magnificent 7"" stocks have one giant headwind coming right at them | The Best Vanguard ETF for Your Next $1,000 Investment",32.53,16.69,46335873024.0,6.555,114.29,62.97,97.32,BUY SIGNAL
DDOG,https://www.tradingview.com/chart/?symbol=DDOG,"Datadog, Inc.",Technology,237.325,84478255104,32.2,104.0,87.5,17.0,55.41,179.52,150.12,True,True,True,BULLISH TREND,False,66.11,POSITIVE,5,"Datadog upgraded, Accenture downgraded: Wall Street's top analyst calls | Truist raises Datadog to Buy, sees ’continued upside momentum in shares’ | Here Are Monday’s Best Wall Street Analyst Research Calls: Accenture, Caesars Entertainment, Datadog, DuPont, EPAM Systems, Ferrari, Paychex, Rocket Lab, TeraWulf, and More",608.53,83.28,936726528.0,32.221,3.93,3.69,81.24,BUY SIGNAL
GLW,https://www.tradingview.com/chart/?symbol=GLW,Corning Incorporated,Technology,187.045,160977993728,20.0,138.9,41.86,-10.06,46.15,177.22,118.5,True,True,True,BUY THE DIP,False,58.81,NEUTRAL,5,1 Industrials Stock on Our Watchlist and 2 We Brush Off | Corning Lands Multibillion-Dollar Amazon AI Deal. Why Fiber Optics Are Suddenly in Spotlight | Jim Cramer Recommends Corning Over Applied Optoelectronics,89.93,44.67,612000000.0,80.363,16.74,11.09,81.05,BUY SIGNAL
A,https://www.tradingview.com/chart/?symbol=A,"Agilent Technologies, Inc.",Healthcare,130.25,36786757632,10.0,60.0,16.74,15.0,68.84,120.45,130.06,True,True,False,BULLISH TREND,False,56.96,NEUTRAL,5,"Strength in Technology Enabled Products Drives Roper: Can the Momentum Sustain? | SpaceX initiated, Intel upgraded: Wall Street's top analyst calls | Is Agilent Technologies Stock Outperforming the Nasdaq?",26.1,19.72,930625024.0,49.733,21.33,19.55,80.91,BUY SIGNAL
STX,https://www.tradingview.com/chart/?symbol=STX,Seagate Technology Holdings plc,Technology,1004.025,225131511808,44.1,108.3,152.21,24.76,66.9,725.5,407.78,True,True,True,BULLISH TREND,False,71.13,POSITIVE,5,"Western Digital, Seagate Stocks Keep Soaring. Why They’re Morgan Stanley’s Top Picks. | HDD pricing ""clearly and meaningfully strengthening"", Morgan Stanley says | Seagate, Western Digital Likely to Benefit From Strengthening HDD Demand, Morgan Stanley Says",95.44,37.31,1610000000.0,381.553,1787.97,21.6,80.89,BUY SIGNAL
DXCM,https://www.tradingview.com/chart/?symbol=DXCM,"DexCom, Inc.",Healthcare,73.73,28450416640,15.0,92.2,11.14,27.52,54.32,66.1,67.55,True,True,False,BULLISH TREND,False,71.04,POSITIVE,5,DexCom Expands Beyond CGMs With CONNECT Results AI Apps And Nutrisense Deal | 3 Reasons Investors Love DexCom (DXCM) | 1 Surging  Stock with Impressive Fundamentals and 2 That Underwhelm,31.64,23.92,1056637504.0,46.833,35.62,19.31,80.68,BUY SIGNAL
LLY,https://www.tradingview.com/chart/?symbol=LLY,Eli Lilly and Company,Healthcare,1130.51,1008122527744,55.5,169.9,14.49,12.49,61.85,999.75,957.74,True,True,True,BULLISH TREND,False,67.0,POSITIVE,5,Should You Buy Eli Lilly Stock Now or Wait for a Dip? | This Financial Bellwether Bankrolls A Breakout | Novo Nordisk Gains 7% in a Week: How Should Investors Play the Stock?,40.23,25.41,9156599808.0,139.015,107.46,34.99,80.61,BUY SIGNAL
LRCX,https://www.tradingview.com/chart/?symbol=LRCX,Lam Research Corporation,Technology,389.73,487360004096,23.8,40.8,77.63,30.28,69.71,289.35,205.69,True,True,True,BULLISH TREND,False,48.57,NEUTRAL,5,"Applied Materials Stock And The Tell Hiding In Its Margins | Buy, Hold, or Sell: Lam Research Rocketed 21% Off Its June Lows as a New Fed Begins. Is LRCX Worthwhile at $366? | Brokers Suggest Investing in Lam Research (LRCX): Read This Before Placing a Bet",73.81,48.86,4352341504.0,35.282,66.76,30.94,80.59,BUY SIGNAL
AMD,https://www.tradingview.com/chart/?symbol=AMD,"Advanced Micro Devices, Inc.",Technology,549.66,896275841024,37.8,91.2,179.61,22.23,57.47,393.42,255.84,True,True,True,BULLISH TREND,False,57.43,NEUTRAL,5,"Why Advanced Micro Devices Stock Popped Today | Update: US Equity Indexes Jump Following Weekend Agreement to End Iran War | AMD Jumps 8% to a Record High, NVIDIA Climbs 4%, Intel Rises 3% in a Risk-On Chip Surge",182.01,41.95,7173374976.0,6.005,8.06,13.37,80.54,BUY SIGNAL
FTNT,https://www.tradingview.com/chart/?symbol=FTNT,"Fortinet, Inc.",Technology,147.92,108373344256,20.1,28.6,75.07,21.39,63.09,110.29,88.88,True,True,True,BULLISH TREND,False,58.4,NEUTRAL,5,TD Cowen and Cantor Fitzgerald Increase Fortinet (FTNT) Price Targets on Strong Security and AI Growth Outlook | Time to Sell? 3 Winners With Fading Technical Momentum | The Real Risk Inside CrowdStrike Stock,57.56,43.18,1813049984.0,57.31,132.39,27.49,80.47,BUY SIGNAL
APH,https://www.tradingview.com/chart/?symbol=APH,Amphenol Corporation,Technology,157.91,194266333184,58.4,24.1,15.66,22.23,67.62,140.78,135.48,True,True,True,BULLISH TREND,False,68.12,POSITIVE,5,"Is Defense Becoming a Long-Term Growth Driver for Amphenol? | Amphenol (APH) Stock After 67% Annual Surge Are Growth Expectations Getting Stretched | Amphenol Stock Hits A Buy Point, Then This Happens",45.38,27.77,3563725056.0,133.051,36.83,17.24,80.4,BUY SIGNAL
ADI,https://www.tradingview.com/chart/?symbol=ADI,"Analog Devices, Inc.",Technology,429.22,209067507712,37.2,110.5,38.43,0.84,53.58,394.71,306.33,True,True,True,BULLISH TREND,False,54.86,NEUTRAL,5,"Has Analog Devices (ADI) Outpaced Other Computer and Technology Stocks This Year? | Will Record Q2, Empower Deal and AI Infrastructure Demand Shift Analog Devices' (ADI) Narrative? | MACOM, Analog Devices, and Seagate Shares Skyrocket, What You Need To Know",63.78,29.05,3868954624.0,25.81,9.64,26.01,80.34,BUY SIGNAL
MPWR,https://www.tradingview.com/chart/?symbol=MPWR,"Monolithic Power Systems, Inc.",Technology,1648.15,80973611008,26.1,39.5,53.28,2.12,49.14,1529.81,1132.8,True,True,True,BULLISH TREND,False,63.56,POSITIVE,5,"Does Monolithic Power Systems' (MPWR) Higher Dividend Reveal Its True AI Expansion Strategy? | 1 High-Flying Stock with Exciting Potential and 2 We Question | Is Monolithic Power Systems, Inc. (MPWR) A Good Stock To Buy Now?",117.39,54.65,491719136.0,0.543,19.57,22.98,80.28,BUY SIGNAL
NXPI,https://www.tradingview.com/chart/?symbol=NXPI,NXP Semiconductors N.V.,Technology,316.455,79895732224,12.2,130.7,65.77,7.58,42.99,274.6,231.53,True,True,True,BULLISH TREND,False,59.62,NEUTRAL,5,NXP Semiconductors (NXPI) Stock Valuation After Strong Multi Year Momentum And Modest Overvaluation Signals | Forget ARKK: This Buffett-Style ETF Beat It Over 5 Years With Half the Volatility | Marvell Taps Adobe CFO as AI Growth Push Continues,30.25,17.95,2727124992.0,103.991,25.81,21.03,80.22,BUY SIGNAL
ANET,https://www.tradingview.com/chart/?symbol=ANET,"Arista Networks, Inc.",Technology,167.035,210325372928,35.1,25.0,23.41,13.01,56.65,156.54,141.69,True,True,True,BULLISH TREND,False,59.3,NEUTRAL,5,Can the Colt Tie-Up Fuel Ciena's Quantum-Secure Expansion? | Arista Networks (ANET): 1.6T Launch Shows How AI Fabrics Are Expanding Its Data Center Opportunity | Cisco Systems (CSCO) – Among the 10 Best S&P 500 Dividend Stocks to Buy Right Now,57.4,37.54,4362237440.0,,31.52,38.32,80.19,BUY SIGNAL
CPAY,https://www.tradingview.com/chart/?symbol=CPAY,"Corpay, Inc.",Technology,353.5099,23106084864,25.4,49.1,13.95,7.39,52.77,331.86,311.82,True,True,True,BULLISH TREND,False,54.6,NEUTRAL,5,Accenture Set to Report Q3 Earnings: Here's What You Should Know | 1 Profitable Stock on Our Buy List and 2 We Ignore | 1 S&P 500 Stock with Impressive Fundamentals and 2 We Brush Off,21.17,11.55,2095142784.0,271.343,32.12,24.6,80.07,BUY SIGNAL
JBL,https://www.tradingview.com/chart/?symbol=JBL,Jabil Inc.,Technology,388.13,40948736000,23.1,96.2,50.47,9.56,53.15,342.76,258.09,True,True,True,BULLISH TREND,False,59.27,NEUTRAL,5,"Jabil's Q3 Earnings Coming Up: How Should You Play the Stock? | Apple supplier Jabil, Adani partner to build AI data center infra platform in India  | Flex Soars 241% in a Year: Should Investors Still Buy the Stock?",52.24,26.29,1203750016.0,328.91,59.7,2.48,79.69,BUY SIGNAL
TXN,https://www.tradingview.com/chart/?symbol=TXN,Texas Instruments Incorporated,Technology,311.4,283402895360,18.6,31.3,61.22,1.05,44.12,274.62,206.87,True,True,True,BULLISH TREND,False,53.41,NEUTRAL,5,Applied Materials Stock And The Tell Hiding In Its Margins | ON Semiconductor Stock: Is ON Outperforming the Technology Sector? | What A Patient Investor Really Pays For Broadcom Stock,53.32,33.08,1068249984.0,83.741,32.35,29.11,79.47,BUY SIGNAL
CAT,https://www.tradingview.com/chart/?symbol=CAT,Caterpillar Inc.,Industrials,935.225,430757117952,22.2,30.2,33.9,1.63,54.34,859.28,660.49,True,True,True,BULLISH TREND,False,56.37,NEUTRAL,5,"Up 300% YTD, How High Can CAT Stock Rally This Year? | These Are 5 Of The Best Stocks To Buy Or Watch Now | Bull of the Day: Caterpillar (CAT)",46.48,31.07,3776624896.0,230.793,51.33,13.33,79.46,BUY SIGNAL
CSCO,https://www.tradingview.com/chart/?symbol=CSCO,"Cisco Systems, Inc.",Technology,120.32,474233405440,12.0,37.1,53.32,4.15,52.65,102.81,81.38,True,True,True,BULLISH TREND,False,60.28,POSITIVE,5,"3 Dow Jones Stocks We Find Risky | Flex Soars 241% in a Year: Should Investors Still Buy the Stock? | Beat the Market Like Zacks: FirstCash, Cisco, Bread Financial in Focus",40.11,25.19,9288375296.0,67.541,25.23,19.68,79.27,BUY SIGNAL
FRT,https://www.tradingview.com/chart/?symbol=FRT,Federal Realty Investment Trust,Real Estate,124.98,10863062016,10.3,152.5,18.78,9.8,67.59,115.37,103.43,True,True,True,BULLISH TREND,False,63.19,POSITIVE,5,Jim Cramer Considers Federal Realty’s Dividend “Safe” | PLD vs. FRT: Which REIT Has the Better Growth Story? | Simon Property (SPG) Up 3% Since Last Earnings Report: Can It Continue?,21.62,40.25,448925248.0,138.432,14.78,38.57,78.86,BUY SIGNAL
AAPL,https://www.tradingview.com/chart/?symbol=AAPL,Apple Inc.,Technology,296.88,4360822849536,16.6,21.8,17.53,-0.44,40.67,286.19,266.79,True,True,True,BULLISH TREND,False,64.67,POSITIVE,5,"Why the biggest ""Magnificent 7"" stocks have one giant headwind coming right at them | The Momentum Rally Is Back. Mag 7 Stocks Are Finally Joining the Party. | SpaceX Extends Its Record IPO Gains",35.9,30.94,101090746368.0,79.548,141.47,27.15,78.62,BUY SIGNAL
DVA,https://www.tradingview.com/chart/?symbol=DVA,DaVita Inc.,Healthcare,209.98,13477566464,6.0,43.5,41.67,9.04,68.0,176.73,141.25,True,True,True,BULLISH TREND,False,68.93,POSITIVE,5,"Best Growth Stocks to Buy for June 15th | DaVita (DVA) Stock After 82% YTD Surge Is The Price Still Justified | Banking Giant, Three Other Top Stocks Make New Highs As Market Aims To Rebound",20.25,12.22,999662976.0,1261.331,80.98,5.65,78.41,BUY SIGNAL
NTAP,https://www.tradingview.com/chart/?symbol=NTAP,"NetApp, Inc.",Technology,161.98,31719434240,12.5,23.4,59.24,35.06,64.47,126.7,113.41,True,True,True,BULLISH TREND,False,75.17,POSITIVE,5,Seagate's Strengthening Free Cash Flow: Can Growth Continue? | Is Western Digital's Free Cash Flow Supporting Long-Term Growth? | Is NetApp Stock Outperforming the Dow?,25.5,16.42,1295250048.0,202.295,106.73,18.43,78.31,BUY SIGNAL
CASY,https://www.tradingview.com/chart/?symbol=CASY,"Casey's General Stores, Inc.",Consumer Cyclical,862.27,31961704448,14.5,66.0,28.16,-1.73,57.91,805.81,644.56,True,True,True,BULLISH TREND,False,57.3,NEUTRAL,5,"MarketBeat Week in Review – 06/08 - 06/12 | Casey’s (CASY) Stock Valuation After Earnings Beat Dividend Hike And Expanded US$1b Buyback | S&P 500 Posts Weekly Gain Amid Heightened Iran Deal Expectations, Dovish Inflation Prints",45.0,36.9,547447360.0,73.155,19.15,4.07,78.28,BUY SIGNAL
ARM,https://www.tradingview.com/chart/?symbol=ARM,Arm Holdings plc,Technology,400.015,427247534080,20.1,47.9,228.69,75.06,61.46,248.02,163.56,True,True,True,BULLISH TREND,False,50.75,NEUTRAL,5,"Chips Up 8.8% in One Week: 5 Semiconductor Names Breaking Into New Highs | Stocks Set to Open Sharply Higher as Oil Sinks on U.S.-Iran Deal, Fed Meeting Awaited | Arm Holdings (ARM) Gets BofA Backing, 37% PT Upgrade, Climbs 11%",476.21,130.39,750499968.0,5.926,11.95,18.37,78.26,BUY SIGNAL
GEN,https://www.tradingview.com/chart/?symbol=GEN,Gen Digital Inc.,Technology,24.3,14639141888,27.0,265.2,18.54,5.39,47.01,22.08,24.51,True,False,False,NO CLEAR ENTRY,False,62.62,POSITIVE,5,"Gen Digital (GEN) Valuation Check After Best In Class Identity Protection Recognition | GE Vernova (GEV): Argus Raises Its Target to $1,300 After a Blowout Quarter | Gen Digital Bets On AI Browser Security To Support Norton Ecosystem",15.48,7.39,1422249984.0,316.354,39.88,19.46,78.01,BUY SIGNAL
ROK,https://www.tradingview.com/chart/?symbol=ROK,"Rockwell Automation, Inc.",Industrials,469.1015,52198776832,11.9,39.6,29.25,3.07,56.5,429.57,389.24,True,True,True,BULLISH TREND,False,59.34,NEUTRAL,5,3 Profitable Stocks That Concern Us | Strength in Technology Enabled Products Drives Roper: Can the Momentum Sustain? | 3 Large-Cap Stocks That Concern Us,48.61,32.3,974499968.0,113.367,27.18,12.36,77.45,BUY SIGNAL
RL,https://www.tradingview.com/chart/?symbol=RL,Ralph Lauren Corporation,Consumer Cyclical,415.975,24757311488,16.6,20.0,22.96,24.52,65.06,366.09,347.09,True,True,True,BULLISH TREND,False,58.39,NEUTRAL,5,"3 Inflated  Stocks Walking a Fine Line | Ralph Lauren (RL) Stock Is Up, What You Need To Know | Why Ralph Lauren (RL) Outpaced the Stock Market Today",27.53,20.41,656187520.0,105.913,34.66,11.6,76.37,BUY SIGNAL
FCX,https://www.tradingview.com/chart/?symbol=FCX,Freeport-McMoRan Inc.,Basic Materials,69.635,100104478720,8.8,153.1,20.47,5.28,59.39,64.17,53.79,True,True,True,BULLISH TREND,False,53.55,NEUTRAL,5,"Is It Worth Investing in Freeport-McMoRan (FCX) Based on Wall Street's Bullish Views? | Oil’s 5.7% Weekly Drop Opens the Door for Jets, Materials, and Infrastructure ETFs | Freeport-McMoRan Inc. (FCX) Is a Trending Stock: Facts to Know Before Betting on It",36.84,18.01,1709874944.0,33.008,15.63,10.34,75.88,BUY SIGNAL
NUE,https://www.tradingview.com/chart/?symbol=NUE,Nucor Corporation,Basic Materials,260.31,59283243008,21.3,382.1,60.5,11.79,66.97,225.33,174.84,True,True,True,BULLISH TREND,False,64.21,POSITIVE,5,"5 Relative Price Strength Winners Investors Should Buy Now | Oil’s 5.7% Weekly Drop Opens the Door for Jets, Materials, and Infrastructure ETFs | JPMorgan Raises Nucor (NUE) Forecast Ahead of Expected Strong Q2 Results",25.85,15.72,-384100000.0,31.595,12.29,6.82,75.84,BUY SIGNAL
VRT,https://www.tradingview.com/chart/?symbol=VRT,Vertiv Holdings Co,Industrials,310.43,119288832000,30.1,135.7,17.29,-17.49,44.04,318.54,221.06,False,True,True,NO CLEAR ENTRY,False,51.22,NEUTRAL,5,VRT vs. SMCI: Which Data Center Infrastructure Stock Is a Better Buy? | Vertiv Stock Eyes $400 on AI Data Center Surge | Here is What to Know Beyond Why Vertiv Holdings Co. (VRT) is a Trending Stock,78.23,35.09,1964749952.0,76.913,45.1,14.37,75.65,BUY SIGNAL
CF,https://www.tradingview.com/chart/?symbol=CF,"CF Industries Holdings, Inc.",Basic Materials,106.39,16344619008,19.4,115.1,-12.68,-13.13,29.15,119.72,97.91,False,True,True,BUY THE DIP,False,53.56,NEUTRAL,5,Is Albemarle (ALB) Outperforming Other Basic Materials Stocks This Year? | BASF's Tinosorb S Gets FDA Nod as First New UV Filter in 27 Years | DuPont Achieves Renewable Power Milestone in US Healthcare Sites,9.58,9.2,1076375040.0,43.847,27.3,23.73,75.53,BUY SIGNAL
TPR,https://www.tradingview.com/chart/?symbol=TPR,"Tapestry, Inc.",Consumer Cyclical,155.01,31318951936,21.2,73.7,9.64,19.36,67.89,142.23,128.64,True,True,True,BULLISH TREND,False,58.23,NEUTRAL,5,How Five Below Is Building Brand Awareness Through Social Media? | 3 Top Consumer Stocks Building Durable Growth | Is Tapestry’s (TPR) Digital Surge in China Outweighing Valuation Concerns and Insider Selling?,47.4,20.02,1529737472.0,574.912,60.91,8.44,75.41,BUY SIGNAL
