Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
WST,https://www.tradingview.com/chart/?symbol=WST,"West Pharmaceutical Services, Inc.",Healthcare,316.055,22328524800,21.0,56.1,29.51,2.13,61.6,277.53,264.23,True,True,True,BULLISH TREND,False,59.59,NEUTRAL,5,"BD Launches Elyra Thulium Fiber Laser System for Kidney Stone Care | Here's Why You Should Retain Inogen Stock in Your Portfolio for Now | Natera's EXPAND Trial Enrollment Crosses 2,000 Patient Milestone",42.2,33.08,275662496.0,10.734,19.13,16.85,82.72,BUY SIGNAL
VRT,https://www.tradingview.com/chart/?symbol=VRT,Vertiv Holdings Co,Industrials,329.735,126654111744,30.1,135.7,34.39,2.46,49.59,303.07,207.68,True,True,True,BULLISH TREND,False,53.12,NEUTRAL,5,Vertiv (VRT) Up 0.5% Since Last Earnings Report: Can It Continue? | Can RFIL's Thermal Cooling Business Become Its Next Growth Engine? | Is Most-Watched Stock Vertiv Holdings Co. (VRT) Worth Betting on Now?,82.85,37.15,1964749952.0,76.913,45.1,14.37,82.7,BUY SIGNAL
CF,https://www.tradingview.com/chart/?symbol=CF,"CF Industries Holdings, Inc.",Basic Materials,121.11,18606043136,19.4,115.1,27.4,-3.17,45.73,124.22,95.71,False,True,True,NO CLEAR ENTRY,False,57.4,NEUTRAL,5,BASFY Adds Certified Sulfite Grades to North American Portfolio | DOW Introduces New Simplified Cooling Management System | CF Stock Up 28% in 3 Months: Can it Keep Rallying on Strong Demand?,10.91,11.54,1076375040.0,43.847,27.3,23.73,82.64,BUY SIGNAL
AMZN,https://www.tradingview.com/chart/?symbol=AMZN,"Amazon.com, Inc.",Consumer Cyclical,267.665,2879301877760,16.6,74.8,30.4,4.93,44.73,241.95,230.56,True,True,True,BULLISH TREND,False,50.39,NEUTRAL,5,"Maybe investors can wait to buy SpaceX after IPO: Lee Munson | US stocks rebound, cybersecurity sector surges to record highs | Rising US Borrowing Costs Won't Slow Massive AI Data-Center Buildout as Potential Profit Outweighs Spending",31.56,27.18,9806624768.0,53.3,24.29,12.22,81.23,BUY SIGNAL
APP,https://www.tradingview.com/chart/?symbol=APP,AppLovin Corporation,Communication Services,486.47,163424501760,59.0,113.1,27.81,7.11,52.69,448.39,534.05,True,False,False,NO CLEAR ENTRY,False,69.52,POSITIVE,5,AppLovin Corporation (APP) Is a Trending Stock: Facts to Know Before Betting on It | 3 Growth Companies With High Insider Ownership And 15% Revenue Growth | 3 Growth Companies With High Insider Ownership And 79% Revenue Growth,42.23,22.19,3180097280.0,162.888,266.44,64.29,80.21,BUY SIGNAL
NXPI,https://www.tradingview.com/chart/?symbol=NXPI,NXP Semiconductors N.V.,Technology,314.6,79427403776,12.2,130.7,36.8,30.45,60.9,238.55,224.75,True,True,True,BULLISH TREND,False,58.38,NEUTRAL,5,"onsemi, FormFactor, NXP Semiconductors, and Skyworks Solutions Shares Skyrocket, What You Need To Know | Stocks Rebound as Crude Oil Falls on Hopes for a US-Iran Deal | Stocks Indexes Turn Green in Afternoon Trade as Oil Prices Retreat",30.11,17.85,3119000064.0,103.991,25.81,21.03,80.12,BUY SIGNAL
MRVL,https://www.tradingview.com/chart/?symbol=MRVL,"Marvell Technology, Inc.",Technology,197.705,173101236224,22.1,106.3,154.28,19.42,67.32,137.51,95.84,True,True,True,BULLISH TREND,False,58.41,NEUTRAL,5,"Stock Market Week Ahead: Marvell, Dell And The Fed's Inflation Gauge | MRVL to Post Q1 Earnings: Time to Buy, Sell or Hold the Stock? | Melius Research Raises Qualcomm (QCOM) Price Target, Sees More Upside in AI Semiconductor Stocks",64.4,36.25,1442787456.0,33.479,19.25,32.58,79.87,BUY SIGNAL
JBL,https://www.tradingview.com/chart/?symbol=JBL,Jabil Inc.,Technology,362.05,38197223424,23.1,96.2,38.6,6.97,57.22,310.83,246.4,True,True,True,BULLISH TREND,False,60.91,POSITIVE,5,What to Know About This Fund's $7 Million Bet on an AI-Focused IT Turnaround | What to Know About This Fund's $7 Million Bet on Calvin Klein and Tommy Hilfiger Owner PVH | This Publishing Firm's AI Push Has Generated $100 Million. One Investor Just Increased Its Stake by $7 Million,48.86,24.81,1203750016.0,328.91,59.7,2.48,79.82,BUY SIGNAL
MPWR,https://www.tradingview.com/chart/?symbol=MPWR,"Monolithic Power Systems, Inc.",Technology,1586.365,77938114560,26.1,39.5,33.57,-0.36,51.0,1375.68,1075.77,True,True,True,BULLISH TREND,False,52.26,NEUTRAL,5,"Teradyne, Monolithic Power Systems, Vishay Intertechnology, Lam Research, and Semtech Stocks Trade Up, What You Need To Know | Pembroke Trims Position in Workiva, According to Latest SEC Filing | Investment Firm Sells SaaS Stock Worth $14.2 Million, According to Recent SEC Filing",114.13,52.6,491719136.0,0.543,19.57,22.98,79.38,BUY SIGNAL
TER,https://www.tradingview.com/chart/?symbol=TER,"Teradyne, Inc.",Technology,358.14,56096882688,87.0,314.8,12.55,-10.6,55.88,341.77,228.25,True,True,True,BULLISH TREND,False,54.22,NEUTRAL,5,"Teradyne, Monolithic Power Systems, Vishay Intertechnology, Lam Research, and Semtech Stocks Trade Up, What You Need To Know | Quantum Computing and Robotics Are Arriving Faster Than Most Investors Realize and After Years of Covering This Space These 3 ETFs Stand Out | 1 S&P 500 Stock to Research Further and 2 We Brush Off",66.24,37.67,298311264.0,2.621,28.75,22.55,79.09,BUY SIGNAL
CIEN,https://www.tradingview.com/chart/?symbol=CIEN,Ciena Corporation,Technology,592.91,83815333888,33.1,232.3,71.89,14.91,59.93,484.26,272.56,True,True,True,BULLISH TREND,False,52.03,NEUTRAL,5,How is Ciena Advancing AI and Cloud Network Infrastructure? | 4 Cloud Computing Stocks Benefiting From AI-Driven Demand | Ciena Taps Cirion NaaS To Extend Role In Cloud And AI,372.81,67.81,699300736.0,56.931,8.2,4.47,78.86,BUY SIGNAL
STX,https://www.tradingview.com/chart/?symbol=STX,Seagate Technology Holdings plc,Technology,814.6,182656925696,44.1,108.3,100.3,38.63,61.37,579.08,352.59,True,True,True,BULLISH TREND,False,44.71,NEUTRAL,5,"Micron Slips. It Has Been a Busy Week for Memory-Chip Stocks. | Can Seagate Sustain Its Gross Margin Expansion Momentum? | DRAM, MU, SNDK: US Memory Stocks Pare Gains After Boost From Samsung Averting Major Worker Strike",77.29,31.11,1610000000.0,381.553,1787.97,21.6,78.78,BUY SIGNAL
AVGO,https://www.tradingview.com/chart/?symbol=AVGO,Broadcom Inc.,Technology,413.93,1959631912960,29.5,31.6,25.55,-1.43,48.92,376.96,348.89,True,True,True,BULLISH TREND,False,40.52,NEUTRAL,5,"US stocks rebound, cybersecurity sector surges to record highs | Are investors more concerned with Iran than Nvidia's Q1 earnings? | One Problem for the SpaceX IPO",80.52,22.67,25503750144.0,82.704,33.37,36.57,78.69,BUY SIGNAL
AMAT,https://www.tradingview.com/chart/?symbol=AMAT,"Applied Materials, Inc.",Technology,436.2,346172620800,11.4,33.5,16.92,8.13,63.08,388.6,286.54,True,True,True,BULLISH TREND,False,53.82,NEUTRAL,5,"How KLA's Service Business Is Becoming a Long-Term Growth Anchor | 5 Revealing Analyst Questions From Applied Materials’s Q1 Earnings Call | The Zacks Analyst Blog Highlights Applied Materials, Shell and KLA",41.0,27.05,3154374912.0,26.998,39.69,29.31,78.66,BUY SIGNAL
GLW,https://www.tradingview.com/chart/?symbol=GLW,Corning Incorporated,Technology,194.53,167419871232,20.0,138.9,34.18,14.77,64.68,162.4,109.66,True,True,True,BULLISH TREND,False,58.77,NEUTRAL,5,"This Alphabet‑Heavy Fund Has a Front‑Row Seat to the AI Boom — and the Market Can See Why It’s Suddenly a Top Performer | Robust Results Boosted Corning’s (GLW) Performance in Q1 | Dow Jones Futures Rise; Amazon, Credo Lead AI Stocks In Buy Areas",93.98,46.06,612000000.0,80.363,16.74,11.09,78.65,BUY SIGNAL
ADI,https://www.tradingview.com/chart/?symbol=ADI,"Analog Devices, Inc.",Technology,397.16,193451491328,37.2,110.5,12.18,-1.66,50.06,365.01,293.71,True,True,True,BULLISH TREND,False,49.75,NEUTRAL,5,"Analog Devices CEO drops bombshell message on exploding AI infrastructure demand | Analog Devices Expands AI Power Strategy with $1.5B Empower Acquisition | Texas Instruments Has the Power Chips AI Needs. Buy the Stock, Says This Analyst.",59.1,26.97,3868954624.0,25.81,9.64,26.01,78.48,BUY SIGNAL
PWR,https://www.tradingview.com/chart/?symbol=PWR,"Quanta Services, Inc.",Industrials,724.24,108679561216,26.3,51.0,31.92,14.33,42.44,639.42,494.04,True,True,True,BULLISH TREND,False,62.51,POSITIVE,5,"Quanta Services Weighs US$1b Buyback Against Growth And Valuation Concerns | Quanta vs. MasTec: Which AI Infrastructure Stock is the Better Buy? | If You Invested $1000 in Quanta Services a Decade Ago, This is How Much It'd Be Worth Now",99.08,44.03,1037176768.0,69.121,13.53,3.67,77.95,BUY SIGNAL
CPAY,https://www.tradingview.com/chart/?symbol=CPAY,"Corpay, Inc.",Technology,347.4,22706731008,25.4,49.1,4.46,10.82,68.42,313.67,308.99,True,True,True,BULLISH TREND,False,62.23,POSITIVE,5,Here's Why You Should Retain Corpay Stock in Your Portfolio Now | Corpay’s Quiet Strength Is Winning Wall Street | The 5 Most Interesting Analyst Questions From Corpay’s Q1 Earnings Call,20.79,11.35,2095142784.0,271.343,32.12,24.6,77.88,BUY SIGNAL
INCY,https://www.tradingview.com/chart/?symbol=INCY,Incyte Corporation,Healthcare,96.965,19371876352,20.9,83.8,-3.85,1.57,49.42,95.52,95.35,True,True,True,BULLISH TREND,False,64.93,POSITIVE,5,How Incyte’s AI-Powered R&D Partnerships At Incyte (INCY) Has Changed Its Investment Story | Incyte CEO Says Post-Jakafi Growth Path Is Clearer as Pipeline Catalysts Build | Incyte Corporation (INCY) Highlights Sustained Efficacy of Opzelura Through Week 24,13.7,10.72,558867008.0,0.701,30.82,26.71,77.79,BUY SIGNAL
CAT,https://www.tradingview.com/chart/?symbol=CAT,Caterpillar Inc.,Industrials,890.285,410058096640,22.2,30.2,17.91,6.59,52.98,798.29,623.99,True,True,True,BULLISH TREND,False,57.22,NEUTRAL,5,"Evercore Turns More Bullish on Caterpillar (CAT) with $1,103 Price Target | AI Infrastructure Provider Deere Hikes Outlook For A Growth Lever | Cummins CEO Explains How to Manage the AI Boom",44.31,29.86,3776624896.0,230.793,51.33,13.33,77.43,BUY SIGNAL
NUE,https://www.tradingview.com/chart/?symbol=NUE,Nucor Corporation,Basic Materials,231.61,52747079680,21.3,382.1,29.94,8.76,56.12,198.23,166.46,True,True,True,BULLISH TREND,False,54.96,NEUTRAL,5,"Texas Instruments, Generac upgraded: Wall Street's top analyst calls | Nucor (NUE) Just Overtook the 20-Day Moving Average | CF Stock Up 28% in 3 Months: Can it Keep Rallying on Strong Demand?",22.98,14.67,-384100000.0,31.595,12.29,6.82,77.3,BUY SIGNAL
FRT,https://www.tradingview.com/chart/?symbol=FRT,Federal Realty Investment Trust,Real Estate,119.58,10393702400,10.3,152.5,10.75,7.25,69.98,109.97,101.21,True,True,True,BULLISH TREND,False,66.07,POSITIVE,5,"GRS Advisors Opens $49 Million Broadstone Net Lease Position, According to Recent SEC Filing | Realty Income Raises Its Investment Bar: Does $9.5B Show Confidence? | Assessing Federal Realty (FRT) Valuation After Recent Momentum And Mixed-Use Growth Prospects",20.76,38.69,448925248.0,138.432,14.78,38.57,76.99,BUY SIGNAL
BLK,https://www.tradingview.com/chart/?symbol=BLK,"BlackRock, Inc.",Financial Services,1075.33,166927745024,27.0,45.9,0.96,2.08,56.01,1022.64,1071.82,True,True,False,BULLISH TREND,False,53.37,NEUTRAL,5,"Tokenization Will Reach $4T By 2028 And Ethereum And Solana Will Not Be The Primary Beneficiaries, Standard Chartered Says | Assessing BlackRock (BLK) Valuation After Recent Share Price Moves | Fink’s Big Payday Gets Lukewarm Reception From BlackRock Shareholders",27.1,17.73,7082375168.0,23.635,11.9,24.4,76.97,BUY SIGNAL
NDAQ,https://www.tradingview.com/chart/?symbol=NDAQ,"Nasdaq, Inc.",Financial Services,91.085,51512283136,13.7,33.8,14.33,4.65,49.02,87.86,89.89,True,True,False,BULLISH TREND,False,50.77,NEUTRAL,5,1 Financials Stock to Target This Week and 2 Facing Headwinds | Tokenization Platform Securitize To Go Public Via SPAC Deal | CBOE Stock Rises 58.1% in a Year: A Signal for Investors to Hold Tight?,27.44,20.57,1559624960.0,79.058,16.2,35.28,76.31,BUY SIGNAL
CBOE,https://www.tradingview.com/chart/?symbol=CBOE,"Cboe Global Markets, Inc.",Financial Services,359.545,37627744256,6.5,54.4,24.24,19.8,62.88,312.08,269.45,True,True,True,BULLISH TREND,False,48.49,NEUTRAL,5,"CBOE Stock Rises 58.1% in a Year: A Signal for Investors to Hold Tight? | Bank of America discloses exposure to Bitcoin, XRP, Ether, Solana | Signal: Outperforming Travel Stock Hasn't Hit Its Top",30.68,24.96,1003075008.0,29.489,25.14,25.77,76.23,BUY SIGNAL
KMI,https://www.tradingview.com/chart/?symbol=KMI,"Kinder Morgan, Inc.",Energy,33.62,74798645248,13.8,36.0,3.76,6.94,61.76,32.54,28.83,True,True,True,BULLISH TREND,False,69.29,POSITIVE,5,1 Profitable Stock to Keep an Eye On and 2 We Brush Off | Kinder Morgan (KMI) Up 5.6% Since Last Earnings Report: Can It Continue? | Bullish Kinder Morgan Insiders Loaded Up On US$26.2m Of Stock,22.56,22.0,1646875008.0,98.84,10.6,18.92,76.19,BUY SIGNAL
NFLX,https://www.tradingview.com/chart/?symbol=NFLX,"Netflix, Inc.",Communication Services,88.5801,372992966656,16.2,86.4,16.52,-4.57,42.11,93.68,101.88,False,False,False,NO CLEAR ENTRY,False,59.28,NEUTRAL,5,"Canada Raises Streaming Content Requirement to 15% for Netflix, Disney, Amazon | Imax's Potential Acquirers Include Private Equity Firms, Netflix, Apple, Sony, Wedbush Says | The Zacks Analyst Blog Highlights Johnson & Johnson, Oracle, Netflix and Espey",28.57,23.05,25993676800.0,53.788,48.49,28.52,75.79,BUY SIGNAL
NEM,https://www.tradingview.com/chart/?symbol=NEM,Newmont Corporation,Basic Materials,108.47,115797450752,45.8,78.6,-12.52,-2.33,50.19,110.87,99.17,False,True,True,NO CLEAR ENTRY,False,70.64,POSITIVE,5,Gina Rinehart Invests $97 Million in US Defense Stocks | Is Aura Minerals Positioned for Stronger GEO Growth in 2026? | SGDM Nearly Doubled Gold’s Gains While IAUI Capped Upside for a 12.52% Yield and One Choice Depends Entirely on 2026,14.07,9.54,9804874752.0,15.762,25.83,33.87,75.7,BUY SIGNAL
GEN,https://www.tradingview.com/chart/?symbol=GEN,Gen Digital Inc.,Technology,24.865,15059828736,27.0,265.2,15.47,32.9,85.74,20.34,24.89,True,False,False,WATCH - OVERBOUGHT,False,61.97,POSITIVE,5,"GE Vernova (GEV): Argus Raises Its Target to $1,300 After a Blowout Quarter | Gen Digital Bets On AI Browser Security To Support Norton Ecosystem | Gen Digital Inc. Q4 2026 Earnings Call Summary",15.84,7.56,1448249984.0,313.903,39.88,19.46,75.56,BUY SIGNAL
COST,https://www.tradingview.com/chart/?symbol=COST,Costco Wholesale Corporation,Consumer Defensive,1029.755,456853422080,21.5,45.5,4.59,1.66,53.99,1007.04,954.9,True,True,True,BULLISH TREND,False,60.6,POSITIVE,5,"The 3 core themes in Walmart's earnings. One of them is AI. | Costco made a quiet credit card change that cost members money | Stock Market Week Ahead: Marvell, Dell And The Fed's Inflation Gauge",53.58,45.68,6690375168.0,60.257,29.65,2.99,75.3,BUY SIGNAL
ROK,https://www.tradingview.com/chart/?symbol=ROK,"Rockwell Automation, Inc.",Industrials,453.33,50443821056,11.9,39.6,17.31,11.21,68.73,399.83,380.43,True,True,True,BULLISH TREND,False,56.98,NEUTRAL,5,Assessing Rockwell Automation (ROK) Valuation After Recent Share Price Momentum And Planned US$2b Investment | What Makes Rockwell Automation (ROK) a High-Quality Compounder? | How Investors Are Reacting To Rockwell Automation (ROK) Elevating AI And Cybersecurity In Smart Manufacturing,47.03,31.24,974499968.0,113.367,27.18,12.36,75.16,BUY SIGNAL
ROST,https://www.tradingview.com/chart/?symbol=ROST,"Ross Stores, Inc.",Consumer Cyclical,232.1,75071569920,12.2,11.8,15.21,2.28,55.54,219.51,183.01,True,True,True,BULLISH TREND,False,51.29,NEUTRAL,5,"Stock Market Today: Dow Charges Higher As These Stocks Soar Ahead Of SpaceX IPO Plans (Live Coverage) | Estee Lauder and IMAX Higher; Ross Stores Boost Forecast | Stock Movers | Ross Stores, TJX Earnings Show Off-Price Is On Target Amid High Gas Prices",35.17,28.3,1636926336.0,84.241,36.68,9.43,75.15,BUY SIGNAL
CDNS,https://www.tradingview.com/chart/?symbol=CDNS,"Cadence Design Systems, Inc.",Technology,379.03,104542535680,18.7,23.0,35.46,20.58,68.07,315.26,322.64,True,True,False,BULLISH TREND,False,56.99,NEUTRAL,5,"Stock Market Week Ahead: Marvell, Dell And The Fed's Inflation Gauge | Why Broadcom (AVGO) Remains One of Goldman’s Strongest AI Infrastructure Bets | 2 Reasons to Watch CDNS and 1 to Stay Cautious",88.15,40.41,1499152256.0,46.992,20.66,21.18,75.11,BUY SIGNAL
DELL,https://www.tradingview.com/chart/?symbol=DELL,Dell Technologies Inc.,Technology,294.81,191499223040,39.5,57.3,148.1,38.97,74.68,200.81,149.43,True,True,True,WATCH - OVERBOUGHT,False,55.71,NEUTRAL,5,"US Equity Indexes Rise as Momentum Builds to Secure Iran Peace Agreement | Stock Market Today: Dow Charges Higher As These Stocks Soar Ahead Of SpaceX IPO Plans (Live Coverage) | These Stocks Are Today’s Movers: Dell, IBM, Rocket Lab, Workday, Estee Lauder, Texas Instruments, Zoom, and More",34.0,19.78,6606750208.0,,,5.23,74.96,WATCHLIST
V,https://www.tradingview.com/chart/?symbol=V,Visa Inc.,Financial Services,329.99,627556417536,17.1,35.5,7.88,7.06,54.26,313.15,329.63,True,True,False,BULLISH TREND,False,48.58,NEUTRAL,5,Costco made a quiet credit card change that cost members money | Should You Forget PayPal and Buy Visa Instead? | Should Visa & Mastercard Investors Worry About UK & Europe's Moves?,28.79,22.22,20839749632.0,67.233,60.35,51.68,74.84,WATCHLIST
AFL,https://www.tradingview.com/chart/?symbol=AFL,Aflac Incorporated,Financial Services,117.9,60009320448,27.9,3860.0,5.48,2.95,72.83,112.08,109.42,True,True,True,WATCH - OVERBOUGHT,False,45.23,NEUTRAL,5,"Aflac Raises 65.9B Yen in Japan Bond Market Amid Foreign Issuer Rush | Aflac Follows Alphabet Into Japan’s Booming Yen Bond Market | Zacks Industry Outlook Highlights Aflac, Unum, Globe Life, Trupanion and Employers",13.47,15.51,4923125248.0,48.276,16.47,25.6,74.52,WATCHLIST
MSFT,https://www.tradingview.com/chart/?symbol=MSFT,Microsoft Corporation,Technology,418.9,3111622803456,18.3,23.4,9.19,0.98,55.47,399.62,458.28,True,False,False,NO CLEAR ENTRY,False,55.05,NEUTRAL,5,"SpaceX, OpenAI, Anthropic: Investors are 'better off' waiting for IPOs | Rising US Borrowing Costs Won't Slow Massive AI Data-Center Buildout as Potential Profit Outweighs Spending | Activision shareholders reach $250 million settlement over Microsoft buyout",24.92,21.66,37011251200.0,30.271,34.01,39.34,74.4,WATCHLIST
WELL,https://www.tradingview.com/chart/?symbol=WELL,Welltower Inc.,Real Estate,216.1475,152581652480,38.3,157.9,3.87,4.15,49.61,208.12,189.72,True,True,True,BULLISH TREND,False,62.02,POSITIVE,5,Welltower Stock Gains 16.9% Year to Date: Will It Continue to Rise? | Real Estate ETF XLRE Offers Steady Dividends With One Major Caution | BMO Capital Raises its Price Target on Welltower (WELL) to $245 from $240,104.42,64.33,2600212736.0,44.486,3.67,11.96,73.91,WATCHLIST
HWM,https://www.tradingview.com/chart/?symbol=HWM,Howmet Aerospace Inc.,Industrials,258.37,103375773696,19.1,71.4,0.56,5.01,62.39,247.52,215.67,True,True,True,BULLISH TREND,False,68.75,POSITIVE,5,"GE Gains From Strength in Defense & Propulsion Unit: Can It Sustain? | Is Astronics (ATRO) Stock Outpacing Its Aerospace Peers This Year? | Is Howmet (HWM) a Solid Growth Stock? 3 Reasons to Think ""Yes""",59.95,43.13,1192749952.0,87.794,33.82,20.23,73.7,WATCHLIST
EBAY,https://www.tradingview.com/chart/?symbol=EBAY,eBay Inc.,Consumer Cyclical,116.995,51945779200,19.5,7.1,39.23,13.15,64.21,101.15,91.97,True,True,True,BULLISH TREND,False,68.1,POSITIVE,5,3 Unpopular Stocks with Open Questions | GameStop Requests Share-Count Increase; Stock Slips | GameStop Seeks Shareholder Approval To More Than Double Its Authorized Shares – A Look At The Important Figures,27.02,17.3,1200375040.0,163.327,42.88,17.61,73.65,WATCHLIST
RL,https://www.tradingview.com/chart/?symbol=RL,Ralph Lauren Corporation,Consumer Cyclical,377.53,22893668352,16.6,20.4,3.71,1.72,58.25,354.37,340.32,True,True,True,BULLISH TREND,False,57.64,NEUTRAL,5,China drives Ralph Lauren sales to surpass $8bn in FY26 | Ralph Lauren posts 17% revenue rise in Q4 as Asia leads growth | Food and Beverage: It’s on the Growth Menu at Irvine Company Retail Properties,24.99,18.57,572137472.0,105.184,34.66,11.6,73.61,WATCHLIST
ALL,https://www.tradingview.com/chart/?symbol=ALL,The Allstate Corporation,Financial Services,216.15,55641530368,3.0,338.4,5.38,-0.19,43.8,212.75,205.66,True,True,True,BULLISH TREND,False,62.38,POSITIVE,5,Does Allstate’s Q1 Turnaround And $4 Billion Buyback Change The Bull Case For ALL? | ACGL's Solid Growth Comes With a Premium Valuation: Hold or Buy? | Is THG Expanding Its Motorcycle & ORV Insurance Offerings?,4.78,8.25,12428999680.0,23.719,45.22,17.81,73.59,WATCHLIST
