Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,529.975,182672916480,45.5,482.9,96.32,28.4,63.33,398.16,230.4,True,True,True,BULLISH TREND,False,66.26,POSITIVE,5,"Can Western Digital Deliver Continued Gross Margin Improvement? | Sandisk's QLC Stargate Gains Traction: A New Revenue Growth Catalyst? | Sandisk Rockets 4000% on AI Memory Boom: Buy, Hold, or Take Profits?",31.68,30.09,2075000064.0,17.81,85.92,55.29,90.5,BUY SIGNAL
LRCX,https://www.tradingview.com/chart/?symbol=LRCX,Lam Research Corporation,Technology,318.72,398581989376,23.8,40.8,38.14,28.13,62.44,263.72,192.62,True,True,True,BULLISH TREND,False,55.88,NEUTRAL,5,Qualcomm (QCOM) Up 35.5% Since Last Earnings Report: Can It Continue? | After Three Years of Tracking the AI Capex Cycle These 3 Semiconductor ETFs Sit on Top of the Trade | The AI Memory Shortage Is Just Getting Started and These 3 ETFs Own Every Layer of the Supply Chain,60.36,40.13,4352341504.0,35.282,66.76,30.94,81.17,BUY SIGNAL
ROST,https://www.tradingview.com/chart/?symbol=ROST,"Ross Stores, Inc.",Consumer Cyclical,230.93,74693132288,20.6,37.4,14.39,2.6,54.25,221.47,184.75,True,True,True,BULLISH TREND,False,53.82,NEUTRAL,5,Buy 5 Non-AI Stocks That Have Surged Year to Date to Tap Market Rally | Dollar Tree Is The Latest Retail Stock To Jump Post-Earnings. Here's Why. | Burlington Stores Q1 Earnings Call Highlights,32.25,26.96,2044547840.0,74.911,38.98,9.74,81.06,BUY SIGNAL
ANET,https://www.tradingview.com/chart/?symbol=ANET,"Arista Networks, Inc.",Technology,157.66,198520651776,35.1,25.0,21.93,-6.53,65.19,148.81,140.14,True,True,True,BULLISH TREND,False,63.26,POSITIVE,5,"Dell Surges 33% on AI Server Boom, Super Micro Computer Adds 16% as Hyperscaler Spend Accelerates | ANET Capitalizes on AI Infrastructure Spending: More Upside Ahead? | Why Arista Networks May Be More Than Just Another AI Trade",54.37,35.43,4362237440.0,,31.52,38.32,80.51,BUY SIGNAL
MPWR,https://www.tradingview.com/chart/?symbol=MPWR,"Monolithic Power Systems, Inc.",Technology,1582.025,77724893184,26.1,39.5,38.74,3.61,48.57,1420.44,1092.16,True,True,True,BULLISH TREND,False,64.91,POSITIVE,5,"Are You Looking for a Top Momentum Pick? Why Monolithic Power (MPWR) is a Great Choice | MPWR Gains From AI Infrastructure Spending: Is the Rally Sustainable? | Insiders At Monolithic Power Systems Sold US$515m In Stock, Alluding To Potential Weakness",112.6,52.46,491719136.0,0.543,19.57,22.98,80.39,BUY SIGNAL
CPAY,https://www.tradingview.com/chart/?symbol=CPAY,"Corpay, Inc.",Technology,362.0625,23665100800,25.4,49.1,9.05,17.94,63.52,317.78,309.98,True,True,True,BULLISH TREND,False,57.43,NEUTRAL,5,Do Wall Street Analysts Like Corpay Stock? | MarketBeat Week in Review – 05/18 - 05/22 | 3 Growth Stocks with Explosive Upside,21.68,11.83,2095142784.0,271.343,32.12,24.6,80.29,BUY SIGNAL
FSLR,https://www.tradingview.com/chart/?symbol=FSLR,"First Solar, Inc.",Technology,304.02,32667969536,23.6,65.1,52.12,59.5,83.81,212.79,227.63,True,True,False,WATCH - OVERBOUGHT,False,54.46,NEUTRAL,5,Why First Solar Stock Is Soaring This Week | Stock Market Today: Nasdaq Leads Rise To Record Highs On Iran Deal Hopes; Drone Stocks Fly High | Solar Stocks Surge on Breakout Signals Amid Rising Tariff Tensions,19.65,12.98,1147664768.0,5.943,18.44,30.73,80.06,BUY SIGNAL
JBL,https://www.tradingview.com/chart/?symbol=JBL,Jabil Inc.,Technology,362.495,38244171776,23.1,96.2,38.82,8.6,53.18,319.84,249.32,True,True,True,BULLISH TREND,False,61.62,POSITIVE,5,ANET Capitalizes on AI Infrastructure Spending: More Upside Ahead? | Is Merck & Co. Stock Outperforming the S&P 500? | Jabil (JBL) Stock Sinks As Market Gains: What You Should Know,48.85,24.84,1203750016.0,328.91,59.7,2.48,79.88,BUY SIGNAL
NXPI,https://www.tradingview.com/chart/?symbol=NXPI,NXP Semiconductors N.V.,Technology,324.175,81844805632,12.2,130.7,44.98,12.07,63.7,249.6,227.21,True,True,True,BULLISH TREND,False,55.09,NEUTRAL,5,"NXP (NXPI) Up 13.8% Since Last Earnings Report: Can It Continue? | Tradr Launches Leveraged ETFs on Microchip, NXP, and ON Semi | Assessing NXP Semiconductors (NXPI) Valuation After A Strong Multi‑Month Share Price Run",30.96,18.39,2727124992.0,103.991,25.81,21.03,79.86,BUY SIGNAL
STX,https://www.tradingview.com/chart/?symbol=STX,Seagate Technology Holdings plc,Technology,888.405,199206158336,44.1,108.3,134.49,38.1,66.31,616.61,367.0,True,True,True,BULLISH TREND,False,57.58,NEUTRAL,5,Can Western Digital Deliver Continued Gross Margin Improvement? | A Look At Seagate Technology Holdings (STX) Valuation After Strong Q3 AI Storage And HAMR Momentum | S&P 500 and Nasdaq 100 Post Record Highs on US-Iran Truce Reports,84.05,33.59,1610000000.0,381.553,1787.97,21.6,79.81,BUY SIGNAL
AMD,https://www.tradingview.com/chart/?symbol=AMD,"Advanced Micro Devices, Inc.",Technology,509.02,830008262656,37.8,91.2,156.28,51.0,64.43,328.0,237.55,True,True,True,BULLISH TREND,False,46.75,NEUTRAL,5,"South Korea Is Up Nearly 96 Percent in 2026 and These 3 ETFs Let You Play the Chip Nation Story at Different Risk Levels | Market Breadth Has Been Bad, But It’s Not Just Big Stocks Rallying | Prediction: AMD’s Rapid Data Center Expansion Fuels Bullish Target",169.67,39.28,7173374976.0,6.005,8.06,13.37,79.69,BUY SIGNAL
TXN,https://www.tradingview.com/chart/?symbol=TXN,Texas Instruments Incorporated,Technology,309.105,281314230272,18.6,31.3,48.07,15.4,62.36,251.26,201.29,True,True,True,BULLISH TREND,False,55.42,NEUTRAL,5,"Zacks Investment Ideas feature highlights: Micron Technologies, Sandisk, Vishay Intertechnology, ON Semiconductor, Texas Instruments and Analog Devices | BofA Raises its Price Target on Texas Instruments (TXN) | 1 Semiconductor Stock to Research Further and 2 That Underwhelm",52.84,32.84,1068249984.0,83.741,32.35,29.11,79.63,BUY SIGNAL
AVGO,https://www.tradingview.com/chart/?symbol=AVGO,Broadcom Inc.,Technology,439.7,2081833746432,29.5,31.6,38.2,8.45,54.8,385.53,351.35,True,True,True,BULLISH TREND,False,51.62,NEUTRAL,5,"Broadcom Stock, Fiber Optic Leader Ciena Lead Another AI Earnings Bonanza | MRVL Experiences Slow Expansion in Gross Margin: What's Ahead? | Meet the Newest Member of the Stock Market's Exclusive $1 Trillion Club (Hint: It's an AI Semiconductor Powerhouse)",85.88,23.9,25503750144.0,82.704,33.37,36.57,79.58,BUY SIGNAL
KEYS,https://www.tradingview.com/chart/?symbol=KEYS,"Keysight Technologies, Inc.",Technology,332.24,56726155264,31.5,35.6,6.06,-0.96,33.4,328.87,233.95,True,True,True,BULLISH TREND,False,69.92,POSITIVE,5,VIAV's NSE Business Remains Robust: Time to Stay Bullish? | Keysight: The AI and Defense Stock Seeing Big Price Target Boosts | KEYS Rides on Strength in the CSG Segment: More Upside Ahead?,53.5,28.02,1143250048.0,43.579,18.17,17.31,79.54,BUY SIGNAL
CIEN,https://www.tradingview.com/chart/?symbol=CIEN,Ciena Corporation,Technology,550.92,77899218944,33.1,232.3,55.75,15.89,50.55,501.06,282.15,True,True,True,BULLISH TREND,False,54.29,NEUTRAL,5,"Broadcom Stock, Fiber Optic Leader Ciena Lead Another AI Earnings Bonanza | Nutanix Q3 Earnings Top Estimates on Strong Demand and Execution | Ciena (CIEN) Earnings Expected to Grow: Should You Buy?",344.32,63.0,699300736.0,56.931,8.2,4.47,79.04,BUY SIGNAL
ADI,https://www.tradingview.com/chart/?symbol=ADI,"Analog Devices, Inc.",Technology,410.715,200053948416,37.2,110.5,16.91,5.5,47.61,373.56,297.58,True,True,True,BULLISH TREND,False,63.89,POSITIVE,5,"Can CRUS' Audio Converter Launch Diversify Revenue Streams & Boost Sales? | Zacks Investment Ideas feature highlights: Micron Technologies, Sandisk, Vishay Intertechnology, ON Semiconductor, Texas Instruments and Analog Devices | Analog Devices' Industrial Segment Picks Up Pace: What's Ahead?",61.3,27.8,3868954624.0,25.81,9.64,26.01,78.96,BUY SIGNAL
AMAT,https://www.tradingview.com/chart/?symbol=AMAT,"Applied Materials, Inc.",Technology,451.37,358369460224,11.4,33.5,21.43,18.12,56.76,396.85,291.87,True,True,True,BULLISH TREND,False,56.57,NEUTRAL,5,Applied Materials (AMAT) Surged Following the Blowout February Earnings Beat | Assessing Applied Materials (AMAT) Valuation After Earnings Beat And New AI Chip Equipment Partnerships | The AI Memory Shortage Is Just Getting Started and These 3 ETFs Own Every Layer of the Supply Chain,42.54,27.91,3040375040.0,30.399,39.69,29.31,78.88,BUY SIGNAL
TER,https://www.tradingview.com/chart/?symbol=TER,"Teradyne, Inc.",Technology,370.825,58049748992,87.0,314.8,13.85,21.1,53.44,348.47,233.7,True,True,True,BULLISH TREND,False,49.34,NEUTRAL,5,KLA (KLAC) Up 10.1% Since Last Earnings Report: Can It Continue? | 5 Stocks With Real Revenue From Physical AI Today (Not 2030 Promises) | Assessing Teradyne (TER) Valuation After Upgraded Analyst Ratings And Higher Earnings Estimates,68.67,38.98,298311264.0,2.621,28.75,22.55,78.7,BUY SIGNAL
PWR,https://www.tradingview.com/chart/?symbol=PWR,"Quanta Services, Inc.",Industrials,716.235,107478327296,26.3,51.0,25.1,13.94,42.61,652.32,500.91,True,True,True,BULLISH TREND,False,70.75,POSITIVE,5,"RPG Investment Advisory Reduces Peabody Energy Stake, According to Recent SEC Filing | A Look At Quanta Services (PWR) Valuation After Exceptional Quarter And Higher Full Year Outlook | Energy Products and Services Q1 Earnings: Quanta (NYSE:PWR) is the Best in the Biz",98.11,43.56,1037176768.0,69.121,13.53,3.67,78.61,BUY SIGNAL
APH,https://www.tradingview.com/chart/?symbol=APH,Amphenol Corporation,Technology,147.2019,181092859904,58.4,24.1,9.12,-0.79,66.62,135.81,133.28,True,True,True,BULLISH TREND,False,67.94,POSITIVE,5,"Amphenol (APH) Up 0.3% Since Last Earnings Report: Can It Continue? | OKTA Shares Jump on Solid Q1 Earnings Beat, Revenues Increase Y/Y | ESTC Q4 Earnings Surpass Expectations, Revenues Increase Y/Y",42.18,26.12,3563725056.0,133.051,36.83,17.24,78.29,BUY SIGNAL
DVA,https://www.tradingview.com/chart/?symbol=DVA,DaVita Inc.,Healthcare,195.92,12575125504,6.0,43.5,27.24,28.9,45.9,166.85,137.93,True,True,True,BULLISH TREND,False,57.31,NEUTRAL,5,DaVita and Arcosa have been highlighted as Zacks Bull and Bear of the Day | Bull of the Day: DaVita Inc. (DVA) | 1 S&P 500 Stock Worth Investigating and 2 That Underwhelm,18.86,11.4,999662976.0,1261.331,80.98,5.65,77.48,BUY SIGNAL
INCY,https://www.tradingview.com/chart/?symbol=INCY,Incyte Corporation,Healthcare,97.655,19509727232,20.9,83.8,-2.38,-1.46,45.46,95.88,95.71,True,True,True,BULLISH TREND,False,58.81,NEUTRAL,5,Why Is Agios Pharmaceuticals (AGIO) Up 8.6% Since Last Earnings Report? | JPMorgan says large-cap biotech is back as profits and pipelines fuel upside | Why Is Incyte (INCY) Down 1.8% Since Last Earnings Report?,13.79,10.77,558867008.0,0.701,30.82,26.71,77.3,BUY SIGNAL
CAT,https://www.tradingview.com/chart/?symbol=CAT,Caterpillar Inc.,Industrials,873.205,402191220736,22.2,30.2,16.29,7.8,44.76,813.99,633.62,True,True,True,BULLISH TREND,False,51.9,NEUTRAL,5,Investors Heavily Search Caterpillar Inc. (CAT): Here is What You Need to Know | Is Caterpillar’s Blowout Quarter And Data Center Demand Altering The Investment Case For CAT? | Car Sales Stink. Why GM and Ford Are Soaring.,43.53,29.29,3776624896.0,230.793,51.33,13.33,77.0,BUY SIGNAL
APP,https://www.tradingview.com/chart/?symbol=APP,AppLovin Corporation,Communication Services,605.65,203461771264,59.0,113.1,39.88,36.58,75.57,457.77,536.33,True,True,False,WATCH - OVERBOUGHT,False,58.57,NEUTRAL,5,"High Insider Stakes In Leading Growth Companies May 2026 | The Zacks Analyst Blog Highlights Citigroup, TotalEnergies, AppLovin, The Eastern and Acorn Energy | Why AppLovin (APP) Stock Is Trading Up Today",52.57,27.62,3180097280.0,162.888,266.44,64.29,76.94,BUY SIGNAL
MNST,https://www.tradingview.com/chart/?symbol=MNST,Monster Beverage Corporation,Consumer Defensive,88.38,86436356096,26.9,28.9,9.03,14.94,59.17,78.6,74.23,True,True,True,BULLISH TREND,False,58.95,NEUTRAL,5,"Dow Jones Futures Rise As Dell, NetApp Surge On Earnings; Oil Falls On U.S.-Iran Deal Hopes | Berkshire Hathaway Is Underperforming, but 4 of Warren Buffett’s Top Picks Are Up Big This Year | 2 Cash-Producing Stocks to Keep an Eye On and 1 Facing Headwinds",42.7,34.2,1684340480.0,1.082,26.65,23.11,76.82,BUY SIGNAL
FFIV,https://www.tradingview.com/chart/?symbol=FFIV,"F5, Inc.",Technology,377.39,21292060672,11.0,4.0,35.75,15.01,65.49,326.18,293.74,True,True,True,BULLISH TREND,False,62.9,POSITIVE,5,Why Is ADP (ADP) Up 3.7% Since Last Earnings Report? | 1 Mid-Cap Stock to Target This Week and 2 We Question | Why Is F5 (FFIV) Up 18.3% Since Last Earnings Report?,30.96,21.5,759182528.0,7.12,20.34,21.96,75.48,BUY SIGNAL
V,https://www.tradingview.com/chart/?symbol=V,Visa Inc.,Financial Services,330.34,628222001152,17.1,35.5,3.28,-1.15,63.72,314.87,329.51,True,True,False,BULLISH TREND,False,54.77,NEUTRAL,5,Trip.com’s AI Travel Push And New Global Partnerships Might Change The Case For Investing In Trip.com Group (TCOM) | Visa Inc. (V) is Attracting Investor Attention: Here is What You Should Know | Visa invests in Replit as companies plan payments integration,28.8,22.24,20839749632.0,67.233,60.35,51.68,75.33,BUY SIGNAL
NEM,https://www.tradingview.com/chart/?symbol=NEM,Newmont Corporation,Basic Materials,110.465,117927215104,45.8,78.6,-13.81,2.89,42.09,110.61,99.76,False,True,True,NO CLEAR ENTRY,False,62.05,POSITIVE,5,Barclays Maintains an “Overweight” Rating on Newmont Corporation (NEM) | Newmont vs. SSR Mining: Which Gold Stock Is a Better Buy in 2026? | AEM vs. NEM: Which Gold Mining Giant Should You Invest in Now?,14.33,9.66,9804874752.0,15.762,25.83,33.87,75.01,BUY SIGNAL
CBOE,https://www.tradingview.com/chart/?symbol=CBOE,"Cboe Global Markets, Inc.",Financial Services,339.67,35547750400,6.5,54.4,14.18,11.15,43.76,316.53,271.36,True,True,True,BULLISH TREND,False,57.1,NEUTRAL,5,"4 Dividend ETFs That Could Fund an $1,800-a-Month Golf Habit | Here's Why CBOE Global (CBOE) is a Strong Growth Stock | 5 Monthly Dividend Investments That Could Cover a $3,500 Mortgage, Month After Month",29.03,23.32,1003075008.0,29.489,25.14,25.77,74.82,WATCHLIST
CSCO,https://www.tradingview.com/chart/?symbol=CSCO,"Cisco Systems, Inc.",Technology,119.79,472144445440,12.0,37.1,51.65,33.74,80.16,93.06,78.27,True,True,True,WATCH - OVERBOUGHT,False,59.74,NEUTRAL,5,"Dell, Cisco: How 'throwback' tech stocks fit into the AI trade | This Tech Stock Joins Intel, Cisco Smashing Dot-Com Records | ePlus inc. Q4 2026 Earnings Call Summary",39.93,25.1,9288375296.0,67.541,25.23,19.68,74.78,WATCHLIST
EOG,https://www.tradingview.com/chart/?symbol=EOG,"EOG Resources, Inc.",Energy,132.4,70520012800,15.6,39.6,3.71,-4.83,54.06,137.5,118.05,False,True,True,NO CLEAR ENTRY,False,55.05,NEUTRAL,5,Why ExxonMobil's Strong Balance Sheet Matters for Investors | Here’s What Differentiates EOG Resources (EOG) from Competitors | Here’s Why EOG Resources (EOG) Surged in Q1,13.02,9.03,2864250112.0,26.873,18.2,23.32,74.7,WATCHLIST
A,https://www.tradingview.com/chart/?symbol=A,"Agilent Technologies, Inc.",Healthcare,136.87,38627196928,10.0,60.0,16.09,22.97,79.44,115.85,129.22,True,True,False,WATCH - OVERBOUGHT,False,66.31,POSITIVE,5,S&P Futures Gain on Hopes for U.S.-Iran Deal; Dell Pops on Blowout Earnings | Agilent (A) Extends Winning Streak on 58% Higher Progits | S&P 500 and Nasdaq 100 Post Record Highs on US-Iran Truce Reports,27.48,20.75,933374976.0,47.108,21.33,19.55,74.45,WATCHLIST
NDAQ,https://www.tradingview.com/chart/?symbol=NDAQ,"Nasdaq, Inc.",Financial Services,93.32,52776267776,13.7,33.8,6.27,2.25,69.33,88.31,89.81,True,True,False,BULLISH TREND,False,62.11,POSITIVE,5,"LSEGY or NDAQ: Which Is the Better Value Stock Right Now? | Sivers Semiconductors Surges 1,700% As Short Bets Rapidly Rise | Tesla and SpaceX Merger Would Make Elon Musk A Major Bitcoin Holder",28.11,21.07,1559624960.0,79.058,16.2,35.28,74.42,WATCHLIST
KLAC,https://www.tradingview.com/chart/?symbol=KLAC,KLA Corporation,Technology,1927.7676,251819491328,11.5,11.8,25.75,6.28,54.73,1730.56,1345.89,True,True,True,BULLISH TREND,False,68.69,POSITIVE,5,KLA (KLAC) Up 10.1% Since Last Earnings Report: Can It Continue? | Can KLA's Greenfield Fab Exposure Spark Multi-Year Revenue Growth? | Brokers Suggest Investing in KLA (KLAC): Read This Before Placing a Bet,54.64,38.67,2890187008.0,105.4,94.98,35.66,74.15,WATCHLIST
DDOG,https://www.tradingview.com/chart/?symbol=DDOG,"Datadog, Inc.",Technology,239.155,85129658368,32.2,104.0,115.24,78.5,83.5,152.93,143.84,True,True,True,WATCH - OVERBOUGHT,False,63.46,POSITIVE,5,"Datadog CEO Says AI Demand Is Fueling Broad-Based Growth Beyond AI Natives | Buy 4 Cybersecurity Bigwigs for a Strong and Secure Portfolio in 2026 | Is Datadog, Inc. (DDOG) Overvalued? Goldman Sachs Raises Target but Keeps Sell Rating",629.36,84.03,936726528.0,32.221,3.93,3.69,73.83,WATCHLIST
TEL,https://www.tradingview.com/chart/?symbol=TEL,TE Connectivity plc,Technology,212.005,61883371520,14.5,7150.0,0.4,3.69,57.87,212.15,219.78,False,False,False,NO CLEAR ENTRY,False,61.83,POSITIVE,5,The Bull Case For TE Connectivity (TEL) Could Change Following Record Q2 EPS Beat And Broad-Based Growth | Why Is TE Connectivity (TEL) Down 7% Since Last Earnings Report? | Do Wall Street Analysts Like TE Connectivity Stock?,21.68,16.78,2322249984.0,43.798,22.72,15.54,73.8,WATCHLIST
GLW,https://www.tradingview.com/chart/?symbol=GLW,Corning Incorporated,Technology,176.7,152074698752,20.0,138.9,11.93,16.33,45.42,166.9,112.1,True,True,True,BULLISH TREND,False,50.0,NEUTRAL,5,"NETGEAR (NTGR) Up 1.7% Since Last Earnings Report: Can It Continue? | This Tech Stock Joins Intel, Cisco Smashing Dot-Com Records | Nvidia Bets Big on Photonics as AI Infrastructure Needs Grow",84.55,41.84,612000000.0,80.363,16.74,11.09,73.75,WATCHLIST
GEN,https://www.tradingview.com/chart/?symbol=GEN,Gen Digital Inc.,Technology,25.31,15247600640,27.0,265.2,13.85,32.94,76.54,20.67,24.79,True,True,False,WATCH - OVERBOUGHT,False,61.97,POSITIVE,5,"GE Vernova (GEV): Argus Raises Its Target to $1,300 After a Blowout Quarter | Gen Digital Bets On AI Browser Security To Support Norton Ecosystem | Gen Digital Inc. Q4 2026 Earnings Call Summary",16.12,7.7,1422249984.0,316.354,39.88,19.46,73.46,WATCHLIST
RL,https://www.tradingview.com/chart/?symbol=RL,Ralph Lauren Corporation,Consumer Cyclical,365.88,21775839232,16.6,20.0,3.6,1.79,53.11,357.13,342.04,True,True,True,BULLISH TREND,False,55.33,NEUTRAL,5,"1 Profitable Stock for Long-Term Investors and 2 We Avoid | Walmart and 5 More Consumer Stocks to Buy After a Solid Retail Earnings Season | Top Research Reports for Citigroup, TotalEnergies & AppLovin",24.18,17.96,656187520.0,105.913,34.66,11.6,73.43,WATCHLIST
UAL,https://www.tradingview.com/chart/?symbol=UAL,"United Airlines Holdings, Inc.",Industrials,117.135,38018473984,10.6,84.5,13.49,32.18,72.44,95.6,101.65,True,True,False,WATCH - OVERBOUGHT,False,60.58,POSITIVE,5,3 Profitable Stocks with Warning Signs | Airline CEOs Defend Demand As Fuel Costs Hit Consumers | Stock Market Today: Nasdaq Leads Rise To Record Highs On Iran Deal Hopes; Drone Stocks Fly High,10.48,8.24,1647000064.0,195.081,25.73,6.06,73.3,WATCHLIST
ROK,https://www.tradingview.com/chart/?symbol=ROK,"Rockwell Automation, Inc.",Industrials,453.335,50444378112,11.9,39.6,10.33,13.63,50.55,407.55,382.94,True,True,True,BULLISH TREND,False,59.94,NEUTRAL,5,"Hubbell, Rockwell Automation, and First Solar Shares Skyrocket, What You Need To Know | Assessing Rockwell Automation (ROK) Valuation After Recent Share Price Momentum And Planned US$2b Investment | What Makes Rockwell Automation (ROK) a High-Quality Compounder?",47.03,31.24,974499968.0,113.367,27.18,12.36,73.3,WATCHLIST
FTNT,https://www.tradingview.com/chart/?symbol=FTNT,"Fortinet, Inc.",Technology,135.92,99581566976,20.1,28.6,71.66,57.84,78.65,96.11,85.22,True,True,True,WATCH - OVERBOUGHT,False,55.29,NEUTRAL,5,"Cisco's Security Revenue Growth Set to Pick Up: What's Ahead? | Palo Alto Networks to Report Q3 Earnings: Buy, Sell or Hold the Stock? | Stocks Settle Mixed on Conflicting US-Iran Signals",52.68,39.68,1813049984.0,57.31,132.39,27.49,73.02,WATCHLIST
