Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
MU,https://www.tradingview.com/chart/?symbol=MU,"Micron Technology, Inc.",Technology,983.0,1110193471488.0,345.7,1368.5,104.09,-6.52,50.76,952.05,498.2,True,True,True,BUY THE DIP,False,49.56,NEUTRAL,5.0,Why Micron Stock Popped Today | Stock Market Today: Nasdaq Pounded As Oil Surges; Honeywell Crosses Trendline (Live Coverage) | Micron vs. SK Hynix: Which Is the Better Memory Stock to Buy?,22.22,6.39,7639499776.0,6.33,66.64,55.91,93.76,BUY SIGNAL
AMD,https://www.tradingview.com/chart/?symbol=AMD,"Advanced Micro Devices, Inc.",Technology,531.56,866762031104.0,37.8,91.2,74.09,2.25,52.46,506.85,304.04,True,True,True,BULLISH TREND,False,60.27,POSITIVE,5.0,AMD CEO Lisa Su delivers keynote with big AI update for tech investors | Anthropic and AMD are signing a major AI chip deal. What could this mean for Nvidia? | Bank of America targets Nvidia's next $170 billion growth engine,178.38,39.4,7173374976.0,6.005,8.06,13.37,80.77,BUY SIGNAL
FTNT,https://www.tradingview.com/chart/?symbol=FTNT,"Fortinet, Inc.",Technology,151.15,110739800064.0,20.1,28.6,82.64,2.13,45.06,145.79,98.48,True,True,True,BULLISH TREND,False,55.44,NEUTRAL,5.0,"Intel's Foundry Just Landed Its First Named Outside Customer Under Lip-Bu Tan. The Stock Jumped More Than 8% -- 2 Days Before Earnings. | Fortinet and Intel Just Announced a New Collaboration. The Real Test for FTNT Stock Is Earnings. | Pegasystems Q2 Earnings Miss Estimates, Revenues Increase Y/Y",58.81,44.07,1813049984.0,57.31,132.39,27.49,80.24,BUY SIGNAL
GEN,https://www.tradingview.com/chart/?symbol=GEN,Gen Digital Inc.,Technology,25.08,15109041152.0,27.0,265.2,34.05,7.82,33.26,25.15,24.1,False,True,True,NO CLEAR ENTRY,False,63.82,POSITIVE,5.0,CVLT Grew. The Stock Did Not. Someone Is Wrong | Own ServiceNow For AI? Gen Digital's Numbers Speak Louder | GEN Grew. The Stock Did Not. Someone Is Wrong,15.97,7.63,1422249984.0,316.354,39.88,19.46,80.21,BUY SIGNAL
STX,https://www.tradingview.com/chart/?symbol=STX,Seagate Technology Holdings plc,Technology,913.36,204801785856.0,44.1,108.3,55.91,-11.99,58.64,886.25,499.82,True,True,True,BULLISH TREND,False,57.28,NEUTRAL,5.0,2 Semiconductor Stocks with Impressive Fundamentals and 1 Facing Challenges | SanDisk's Bold Pivot From AI Boom Beneficiary to Bust Breaker | Jim Cramer Defends His Dell Stance as Investors Complain About Missing Out,86.74,32.07,1610000000.0,381.553,1787.97,21.6,79.78,BUY SIGNAL
MNST,https://www.tradingview.com/chart/?symbol=MNST,Monster Beverage Corporation,Consumer Defensive,93.46,91404640256.0,26.9,28.9,20.5,-0.25,38.28,92.31,79.75,True,True,True,BULLISH TREND,False,69.66,POSITIVE,5.0,"PRMB or MNST: Which Is the Better Value Stock Right Now? | Monster Beverage up 23% YTD on Strong Sales, Institutional Support | Monster Beverage Earnings Preview: What to Expect",45.15,36.01,1684340480.0,1.082,26.65,23.11,79.77,BUY SIGNAL
CPAY,https://www.tradingview.com/chart/?symbol=CPAY,"Corpay, Inc.",Technology,359.79,23516565504.0,25.4,49.1,14.78,6.02,54.94,350.51,317.89,True,True,True,BULLISH TREND,False,48.58,NEUTRAL,5.0,"Canadian Dollar Flat as Tariff Uncertainty Offsets Higher Oil Prices, Corpay Says | 2 Unpopular Stocks That Deserve a Second Chance and 1 We Avoid | Here's What to Expect From Corpay's Next Earnings Report",21.56,11.76,2095142784.0,271.343,32.12,24.6,79.59,BUY SIGNAL
V,https://www.tradingview.com/chart/?symbol=V,Visa Inc.,Financial Services,351.6,668653125632.0,17.1,35.5,13.87,7.04,40.43,335.88,328.91,True,True,True,BULLISH TREND,False,65.52,POSITIVE,5.0,MoonPay Now Accepts Discover Cards For Crypto Purchases | Pool Q2 Earnings Call Highlights | Visa's Q3 Earnings Could be a Catalyst: Should You Buy Now?,30.6,23.64,20839749632.0,67.233,60.35,51.68,78.99,BUY SIGNAL
WELL,https://www.tradingview.com/chart/?symbol=WELL,Welltower Inc.,Real Estate,247.05,174396162048.0,38.3,157.9,18.75,13.5,64.53,220.85,201.05,True,True,True,BULLISH TREND,False,59.85,NEUTRAL,5.0,Unveiling Welltower (WELL) Q2 Outlook: Wall Street Estimates for Key Metrics | Welltower Gears Up to Report Q2 Earnings: What's in the Cards? | Healthpeak & Brookfield Form Outpatient Medical Joint Venture,119.93,73.53,2600212736.0,44.486,3.67,11.96,78.64,BUY SIGNAL
GD,https://www.tradingview.com/chart/?symbol=GD,General Dynamics Corporation,Industrials,378.67,102403801088.0,10.3,12.0,19.34,8.56,57.26,353.23,345.15,True,True,True,BULLISH TREND,False,67.51,POSITIVE,5.0,GD vs. GE: Which Stock Is the Better Value Option? | Analysts Estimate Huntington Ingalls (HII) to Report a Decline in Earnings: What to Look Out for | Is AAR (AIR) Stock Outpacing Its Aerospace Peers This Year?,23.82,20.78,5289500160.0,37.701,17.97,8.07,78.4,BUY SIGNAL
ALL,https://www.tradingview.com/chart/?symbol=ALL,The Allstate Corporation,Financial Services,253.715,65311551488.0,3.0,338.4,17.77,9.57,53.33,229.19,210.64,True,True,True,BULLISH TREND,False,55.58,NEUTRAL,5.0,"Will Brown & Brown's Beat Streak Continue This Earnings Season? | Will Principal Financial's Beat Streak Continue This Earnings Season? | Callen Adds Creative, Account Staffers, Reports Strong Revenue Growth",5.61,9.57,12428999680.0,23.719,45.22,17.81,77.95,BUY SIGNAL
AMP,https://www.tradingview.com/chart/?symbol=AMP,"Ameriprise Financial, Inc.",Financial Services,523.67,47076405248.0,9.0,66.0,14.47,12.47,69.08,475.12,472.57,True,True,True,BULLISH TREND,False,47.04,NEUTRAL,5.0,"AMP Q2 Earnings Beat as Revenues Grow & AUM, AUA Touch Record Levels | Here's What Key Metrics Tell Us About Ameriprise (AMP) Q2 Earnings | Exchange-Traded Funds, Equity Futures Lower Pre-Bell Thursday Amid Major Tech Stocks Sell-Off",13.05,10.5,3355624960.0,56.246,66.94,20.17,77.91,BUY SIGNAL
NXPI,https://www.tradingview.com/chart/?symbol=NXPI,NXP Semiconductors N.V.,Technology,274.61,69331075072.0,12.2,130.7,14.26,-8.13,50.72,295.36,238.83,False,True,True,BUY THE DIP,False,50.94,NEUTRAL,5.0,Countdown to NXP (NXPI) Q2 Earnings: A Look at Estimates Beyond Revenue and EPS | TXN Keeps Climbing. Should You Climb On? | 3 Cash-Producing Stocks We Find Risky,26.25,15.34,2727124992.0,103.991,25.81,21.03,77.73,BUY SIGNAL
JPM,https://www.tradingview.com/chart/?symbol=JPM,JPMorgan Chase & Co.,Financial Services,347.93,924867559424.0,30.4,46.9,12.13,4.6,64.2,320.34,307.77,True,True,True,BULLISH TREND,False,63.94,POSITIVE,5.0,"Why Teva Pharmaceutical Stock Is a Buy Despite Trump Tariff Threat | Four Takeaways From Our Report on the IRS Chief Who Spied on Colleagues at JPMorgan | Google 2027 Capital Spending Could Boom Near $400 Billion, Predicts JPMorgan",14.91,14.07,,,17.79,34.92,77.52,BUY SIGNAL
FSLR,https://www.tradingview.com/chart/?symbol=FSLR,"First Solar, Inc.",Technology,204.82,22008598528.0,23.6,65.1,4.4,-17.82,33.21,248.26,234.96,False,False,True,NO CLEAR ENTRY,False,51.2,NEUTRAL,5.0,First Solar (FSLR) Expected to Beat Earnings Estimates: Should You Buy? | Qualcomm's AI Story Is Hot. Why Is First Solar's Future Clearer? | First Solar (FSLR) Rises As Market Takes a Dip: Key Facts,13.23,8.74,1147664768.0,5.943,18.44,30.73,77.4,BUY SIGNAL
DVA,https://www.tradingview.com/chart/?symbol=DVA,DaVita Inc.,Healthcare,233.1325,14963609600.0,6.0,43.5,50.38,10.53,47.44,211.92,153.29,True,True,True,BULLISH TREND,False,54.4,NEUTRAL,5.0,Moon Capital Management Exited DaVita (DVA) with 174% total Return | 3 S&P 500 Stocks We Think Twice About | DaVita HealthCare (DVA) Advances While Market Declines: Some Information for Investors,22.48,13.54,999662976.0,1261.331,80.98,5.65,77.25,BUY SIGNAL
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,207.64,5029248368640.0,85.2,214.5,4.13,3.8,60.94,209.36,192.6,False,True,True,NO CLEAR ENTRY,False,47.63,NEUTRAL,5.0,AMD launches Helios system in direct challenge to Nvidia's AI dominance | Mark Zuckerberg's Meta Is Expected to Report $60 Billion in Q2 Revenue on July 29. The Stock Has Recovered From a 20% Drawdown to Within 5% of Flat for the Year. | Why NuScale Power Stock Fell 29% in the First Half of 2026,31.8,16.13,46335873024.0,6.555,114.29,62.97,77.21,BUY SIGNAL
STLD,https://www.tradingview.com/chart/?symbol=STLD,"Steel Dynamics, Inc.",Basic Materials,240.57,34693271552.0,33.4,83.6,6.32,-1.06,70.99,245.51,194.43,False,True,True,WATCH - OVERBOUGHT,False,67.75,POSITIVE,5.0,"Cleveland-Cliffs Shares Surge on Second-Quarter Beat, Upbeat Outlook | NUE vs. STLD: Which US Steel Giant Deserves a Spot in Your Portfolio? | Earnings Calendar and Analysis for This Week (July 20-24)",21.81,12.76,234191248.0,46.924,17.57,7.83,77.12,BUY SIGNAL
HIG,https://www.tradingview.com/chart/?symbol=HIG,"The Hartford Insurance Group, Inc.",Financial Services,141.94,38910128128.0,6.1,41.4,2.15,8.08,59.47,133.5,133.5,True,True,False,BULLISH TREND,False,62.61,POSITIVE,5.0,Hartford (HIG) Gets AM Best Rating Affirmation With Stable Outlook | Will Rising Expenses Affect Hartford's Q2 Earnings? Key Insights Here | Hartford (HIG) Reports Q2: Everything You Need To Know Ahead Of Earnings,9.99,10.27,5603250176.0,23.151,22.74,14.11,76.86,BUY SIGNAL
NTAP,https://www.tradingview.com/chart/?symbol=NTAP,"NetApp, Inc.",Technology,164.06,32142620672.0,12.5,23.4,51.81,4.27,57.87,154.64,118.53,True,True,True,BULLISH TREND,False,55.3,NEUTRAL,5.0,GSI Technology Falls 21% in Three Months: Should You Buy the Dip? | SanDisk's Bold Pivot From AI Boom Beneficiary to Bust Breaker | What HPE Stock’s AI Order Book Was Saying Before The Surge,25.84,16.68,1295250048.0,202.295,106.73,18.43,76.72,BUY SIGNAL
AAPL,https://www.tradingview.com/chart/?symbol=AAPL,Apple Inc.,Technology,320.75,4710969376768.0,16.6,21.8,17.41,8.99,61.86,305.45,275.27,True,True,True,BULLISH TREND,False,40.79,NEUTRAL,5.0,"Apple is 'standing out' from the pack: Does it represent the anti-AI trade? | 3 Things Investors Can Expect When Tim Cook Steps Down as CEO in September After 15 Years and Hands the Reins to John Ternus | As Wall Street Cuts Tesla, Morgan Stanley Raises Its Apple Target",38.88,33.27,101090746368.0,79.548,141.47,27.15,76.71,BUY SIGNAL
FRT,https://www.tradingview.com/chart/?symbol=FRT,Federal Realty Investment Trust,Real Estate,124.335,10806999040.0,10.3,152.5,12.54,1.46,61.37,120.58,105.91,True,True,True,BULLISH TREND,False,62.56,POSITIVE,5.0,"These Dividend Aristocrats Yield Enough to Let Your Passive Income Do the Heavy Lifting | Boomers Are Quietly Loading Up on These Super-High-Yield Dividend Kings for Reliable Passive Income | Federal Realty Trust Just Declared Its 58th Straight Annual Dividend Increase. Here's How Much $10,000 Invested Pays Annually.",21.59,40.42,448925248.0,138.432,14.78,38.57,76.7,BUY SIGNAL
BBY,https://www.tradingview.com/chart/?symbol=BBY,"Best Buy Co., Inc.",Consumer Cyclical,84.2,17746591744.0,1.9,37.9,38.73,12.04,68.99,73.6,68.8,True,True,True,BULLISH TREND,False,76.29,POSITIVE,5.0,"Best Buy's Founder and Chairman Emeritus Sold Company Shares Worth $74 Million. Here's What That Means for Investors. | Confidence Is Back, But Earnings Show the Consumer Is Being Picky | Best Buy names chief fulfillment and operations officer",15.59,11.91,1143750016.0,134.09,39.1,2.73,76.5,BUY SIGNAL
SCHW,https://www.tradingview.com/chart/?symbol=SCHW,The Charles Schwab Corporation,Financial Services,101.61,176713564160.0,20.9,42.6,15.23,9.06,63.76,93.56,94.79,True,True,False,BULLISH TREND,False,61.84,POSITIVE,5.0,"Nasdaq Tightens Rules, Nearly 180 Microcap Stocks Face Delisting Risk | Morgan Stanley doubles down on Schwab after earnings | Raymond James Q3 Earnings Beat on Higher Revenues, Provision Benefit",18.51,13.04,,74.052,20.28,38.79,76.25,BUY SIGNAL
AJG,https://www.tradingview.com/chart/?symbol=AJG,Arthur J. Gallagher & Co.,Financial Services,242.375,62276317184.0,34.6,16.2,10.85,12.33,41.07,223.41,235.25,True,True,False,BULLISH TREND,False,62.0,POSITIVE,5.0,"Arthur J. Gallagher (AJG) Reports Next Week: Wall Street Expects Earnings Growth | Piper Sandler revamps insurance playbook, upgrades Gallagher, cuts five ratings | IBM downgraded, Cava upgraded: Wall Street's top analyst calls",39.22,16.3,1080225024.0,56.18,7.01,11.35,76.16,BUY SIGNAL
NTRS,https://www.tradingview.com/chart/?symbol=NTRS,Northern Trust Corporation,Financial Services,178.465,21921165312.0,36.4,98.6,8.41,1.25,52.82,173.68,148.47,True,True,True,BULLISH TREND,False,73.91,POSITIVE,5.0,"Here Are Thursday’s Top Wall Street Analyst Research Calls: AT&T, Applied Digital, Autodesk, Duke Energy, Exxon Mobil, JPMorgan Chase & Company, Live Nation Entertainment, and More | Does Northern Trust’s (NTRS) Ownership Push Hint At A Deeper Shift In Its Earnings Model? | Northern Trust (NTRS) Q2 2026 Earnings Call Transcript",15.32,14.17,,,17.07,24.67,76.11,BUY SIGNAL
GS,https://www.tradingview.com/chart/?symbol=GS,"The Goldman Sachs Group, Inc.",Financial Services,1074.545,316998778880.0,42.5,92.3,15.89,-1.82,57.31,1038.81,902.98,True,True,True,BULLISH TREND,False,72.39,POSITIVE,5.0,Goldman Sachs breaks with JPMorgan over 'Clarity' | David Solomon's Goldman Sachs Just Posted a Record $20.98 in Quarterly Earnings Per Share. Here's What Powered It. | Why Teva Pharmaceutical Stock Is a Buy Despite Trump Tariff Threat,16.59,14.65,,647.154,16.95,31.04,76.09,BUY SIGNAL
RL,https://www.tradingview.com/chart/?symbol=RL,Ralph Lauren Corporation,Consumer Cyclical,371.69,22121629696.0,16.6,20.0,0.37,-8.45,38.49,378.53,357.21,False,True,True,BUY THE DIP,False,56.96,NEUTRAL,5.0,"Ralph Lauren’s Polo Bar in Talks to Move to a New Office Tower | CoreWeave upgraded, IBM initiated: Wall Street's top analyst calls | Add These 4 GARP Stocks to Your Portfolio to Receive Handsome Returns",24.62,18.2,656187520.0,105.913,34.66,11.6,75.96,BUY SIGNAL
APH,https://www.tradingview.com/chart/?symbol=APH,Amphenol Corporation,Technology,157.79,194118696960.0,58.4,24.1,5.23,-0.57,41.33,150.43,140.87,True,True,True,BULLISH TREND,False,71.96,POSITIVE,5.0,"GOOGL Q2 Earnings Beat Estimates, Cloud & Search Aid Top-Line Growth | NOW Q2 Earnings Beat Estimates, Revenues Rise on Subscription Growth | TMUS Q2 Earnings Top Estimates on Strong Service Revenue Growth",45.34,27.01,3563725056.0,133.051,36.83,17.24,75.81,BUY SIGNAL
EOG,https://www.tradingview.com/chart/?symbol=EOG,"EOG Resources, Inc.",Energy,146.81,78195195904.0,15.6,39.6,10.48,9.64,76.52,135.79,121.08,True,True,True,WATCH - OVERBOUGHT,False,62.83,POSITIVE,5.0,Earnings Preview: What To Expect From EOG Resources' Report | Five Oil and Gas Stocks Ready for a Hormuz Spike and a Hawkish Fed | Can CRGY's Cash Flow Centric Business Model Support Future Growth?,14.44,10.01,2864250112.0,26.873,18.2,23.32,75.73,BUY SIGNAL
BAC,https://www.tradingview.com/chart/?symbol=BAC,Bank of America Corporation,Financial Services,61.09,428727631872.0,21.4,36.0,17.03,5.49,62.69,55.75,52.76,True,True,True,BULLISH TREND,False,62.77,POSITIVE,5.0,Rollins shares plunge premarket after Q2 miss triggers downgrades | Micron Gets a Major Vote of Confidence From Bank of America | Why Bank Stocks May Beat REITs for Dividends,14.11,11.62,,,11.2,29.52,75.52,BUY SIGNAL
URI,https://www.tradingview.com/chart/?symbol=URI,"United Rentals, Inc.",Industrials,1139.71,71398907904.0,11.8,25.5,17.21,7.2,55.99,1043.81,897.5,True,True,True,BULLISH TREND,False,56.79,NEUTRAL,5.0,"Why Is United Rentals (URI) Stock Rocketing Higher Today | Update: US Equity Indexes Sink as Houthis Target Saudi Tankers in Red Sea, Mag-7 Stalwarts Disappoint | United Rentals Q2 Earnings Beat on Rental Growth, '26 Guidance Raised",27.39,20.89,1719124992.0,166.793,28.89,15.67,75.49,BUY SIGNAL
VRTX,https://www.tradingview.com/chart/?symbol=VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,473.09,120072806400.0,7.8,61.4,9.95,1.0,16.3,463.72,450.81,True,True,True,BULLISH TREND,False,63.7,POSITIVE,5.0,Is Arrowhead Pharmaceuticals Stock A Smart Buy After Its Transition To A Commercial Company? | 3 Healthcare Stocks with Competitive Advantages | Vertex Pharmaceuticals (VRTX) Sees a More Significant Dip Than Broader Market: Some Facts to Know,28.04,22.2,2783225088.0,10.26,24.2,35.51,75.35,BUY SIGNAL
TXN,https://www.tradingview.com/chart/?symbol=TXN,Texas Instruments Incorporated,Technology,284.99,259367337984.0,18.6,31.3,3.35,-6.36,45.94,301.22,222.25,False,True,True,BUY THE DIP,False,56.37,NEUTRAL,5.0,"Earnings live: Google stock drops on capex concerns, ServiceNow pops | Nvidia, Tesla, SpaceX, Alphabet, Lockheed, AT&T, and More Stocks That Explain Today’s Market | Which Stocks Are Getting Hit Hardest on the Nasdaq Today?",48.72,27.21,1068249984.0,83.741,32.35,29.11,75.11,BUY SIGNAL
CAT,https://www.tradingview.com/chart/?symbol=CAT,Caterpillar Inc.,Industrials,898.72,413943201792.0,22.2,30.2,7.8,-8.52,34.22,925.33,725.32,False,True,True,BUY THE DIP,False,58.63,NEUTRAL,5.0,The Two Divergent Futures Priced Into Caterpillar Stock | Is Westinghouse Air Brake Technologies Stock A Smart Buy Right Now? | CAT Earns Its Premium Over Peers. Now What?,44.71,29.51,3776624896.0,230.793,51.33,13.33,75.04,BUY SIGNAL
AXON,https://www.tradingview.com/chart/?symbol=AXON,"Axon Enterprise, Inc.",Industrials,493.58,39783575552.0,33.7,89.8,25.71,13.98,27.57,476.12,520.61,True,False,False,NO CLEAR ENTRY,False,60.64,POSITIVE,5.0,Is Axon (AXON) Quietly Recasting Its AI Governance To Reshape Its Public Safety Platform? | Axon Enterprise (AXON) On Earnings Focus And AI Narrative Looks Undervalued | Axon (AXON) Stock Could Be Fully Priced On Cash Flow Yet A Bargain On Sales,200.64,46.93,62617500.0,52.074,6.77,6.91,74.75,WATCHLIST
HWM,https://www.tradingview.com/chart/?symbol=HWM,Howmet Aerospace Inc.,Industrials,287.03,114842853376.0,19.1,71.4,16.65,4.33,65.94,267.13,233.36,True,True,True,BULLISH TREND,False,54.77,NEUTRAL,5.0,Data Centers Turbocharge Jet Engine Maker In A Battle For Power | Howmet Aerospace (HWM) Positions to Benefit from Prudent Capital Allocation | 3 Reasons HWM Has Explosive Upside Potential,66.44,47.42,1192749952.0,87.794,33.82,20.23,74.73,WATCHLIST
NEM,https://www.tradingview.com/chart/?symbol=NEM,Newmont Corporation,Basic Materials,94.31,100680900608.0,45.8,78.6,-14.88,-3.61,44.86,101.14,103.71,False,False,False,NO CLEAR ENTRY,False,55.28,NEUTRAL,5.0,Wall Street Bulls Look Optimistic About Newmont (NEM): Should You Buy? | Here's How to Play Newmont Stock Before Q2 Earnings Release | Newmont Stock Suddenly Offers a Double-Sided Debit Trade on U.S.-Iran Tensions and Upcoming Earnings,12.23,8.8,9804874752.0,15.762,25.83,33.87,74.47,WATCHLIST
CF,https://www.tradingview.com/chart/?symbol=CF,"CF Industries Holdings, Inc.",Basic Materials,126.04,19363434496.0,19.4,115.1,0.77,23.36,74.57,115.04,101.49,True,True,True,WATCH - OVERBOUGHT,False,68.11,POSITIVE,5.0,"Air Products Awarded Long-Term Taiwan Semiconductor Supply Deal | Flexible Solutions Reports Q2 Revenues of $7.4M, Down 35% Y/Y | What to Expect From CF Industries' Q2 2026 Earnings Report",11.35,11.25,1076375040.0,43.847,27.3,23.73,74.1,WATCHLIST
NDAQ,https://www.tradingview.com/chart/?symbol=NDAQ,"Nasdaq, Inc.",Financial Services,91.905,51976028160.0,13.7,33.8,5.97,11.41,66.04,87.55,88.59,True,True,False,BULLISH TREND,False,58.18,NEUTRAL,5.0,"Sector Update: Financial Stocks Softer in Afternoon Trading | NDAQ Q2 Earnings Beat Estimates on Index and FinTech Growth | Nasdaq Tightens Rules, Nearly 180 Microcap Stocks Face Delisting Risk",27.68,20.23,1559624960.0,79.058,16.2,35.28,74.1,WATCHLIST
GE,https://www.tradingview.com/chart/?symbol=GE,GE Aerospace,Industrials,347.19,360231337984.0,21.1,19.4,23.12,-2.48,29.45,336.67,312.62,True,True,True,BULLISH TREND,False,56.49,NEUTRAL,5.0,GD vs. GE: Which Stock Is the Better Value Option? | Why GE Vernova Stock Surged 80% in the First Half of 2026 | GE Aerospace (GE) Is a Trending Stock: Facts to Know Before Betting on It,40.85,38.32,6594625024.0,113.225,48.23,17.72,74.07,WATCHLIST
