Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
GEV,https://www.tradingview.com/chart/?symbol=GEV,GE Vernova Inc.,Industrials,1048.61,281782484992,16.3,1816.5,20.11,-6.39,39.0,996.07,744.54,True,True,True,HIGH CONVICTION DIP BUY,True,62.03,POSITIVE,5,"GE Vernova Turbine Milestone Raises Questions On Cash Flows And Dividends | Dow Jones Futures Rise After S&P 500, Nasdaq Hit Highs; 5 AI Stocks In Buy Areas | Why GE Vernova Stock Triumphed on Tuesday",30.61,42.78,9315624960.0,24.925,75.71,23.81,90.66,BUY SIGNAL
KEYS,https://www.tradingview.com/chart/?symbol=KEYS,"Keysight Technologies, Inc.",Technology,345.98,59072106496,31.5,35.6,12.58,1.57,38.19,326.84,232.22,True,True,True,BULLISH TREND,False,66.13,POSITIVE,5,"KEYS Rides on Strength in the CSG Segment: More Upside Ahead? | Impressive Earnings May Not Tell The Whole Story For Keysight Technologies (NYSE:KEYS) | If You Invested $1000 in Keysight a Decade Ago, This is How Much It'd Be Worth Now",55.53,29.18,1143250048.0,43.579,18.17,17.31,82.04,BUY SIGNAL
ROST,https://www.tradingview.com/chart/?symbol=ROST,"Ross Stores, Inc.",Consumer Cyclical,233.98,75679645696,20.6,37.4,14.02,3.45,54.57,220.65,183.92,True,True,True,BULLISH TREND,False,58.63,NEUTRAL,5,"Barclays Lifts Ross Stores (ROST) PT after Strong Q1 Comparable Sales Growth | Company News for May 26, 2026 | Ross Stores CEO doubles down on change that may deter customers",32.68,27.32,2044547840.0,74.911,38.98,9.74,81.44,BUY SIGNAL
NXPI,https://www.tradingview.com/chart/?symbol=NXPI,NXP Semiconductors N.V.,Technology,330.245,83377307648,12.2,130.7,46.23,39.42,61.4,244.23,226.03,True,True,True,BULLISH TREND,False,74.14,POSITIVE,5,"If You Invested $1000 in NXP Semiconductors a Decade Ago, This is How Much It'd Be Worth Now | Stocks Finish Mostly Higher on Iran Peace Progress | What Makes NXP Semiconductors (NXPI) a Strong Momentum Stock: Buy Now?",31.6,18.73,2727124992.0,103.991,25.81,21.03,81.38,BUY SIGNAL
LRCX,https://www.tradingview.com/chart/?symbol=LRCX,Lam Research Corporation,Technology,318.32,398081785856,23.8,40.8,36.26,22.68,59.09,259.99,190.47,True,True,True,BULLISH TREND,False,55.92,NEUTRAL,5,"Why Is Amkor Technology (AMKR) Up 2.9% Since Last Earnings Report? | Why KLA Corporation (KLAC) Stock Is Up Today | FormFactor, Amkor, and Teradyne Shares Are Soaring, What You Need To Know",60.17,40.13,4352341504.0,35.282,66.76,30.94,81.17,BUY SIGNAL
FSLR,https://www.tradingview.com/chart/?symbol=FSLR,"First Solar, Inc.",Technology,272.09,29236983808,23.6,65.1,37.98,37.78,76.73,208.58,226.42,True,True,False,WATCH - OVERBOUGHT,False,61.98,POSITIVE,5,"3 Solar Stocks Offering Opportunity Despite Ongoing Industry Weakness | Hubbell, Rockwell Automation, and First Solar Shares Skyrocket, What You Need To Know | Why First Solar (FSLR) Stock Is Trading Up Today",17.59,11.61,1147664768.0,5.943,18.44,30.73,80.66,BUY SIGNAL
ANET,https://www.tradingview.com/chart/?symbol=ANET,"Arista Networks, Inc.",Technology,155.21,195435692032,35.1,25.0,16.26,-10.01,57.63,147.95,139.97,True,True,True,BULLISH TREND,False,64.78,POSITIVE,5,"Xerox and Super Micro Shares Are Soaring, What You Need To Know | Dell and Diebold Nixdorf Stocks Trade Up, What You Need To Know | Cisco Soars 32% in a Month, Arista Falls 10%, Broadcom Drifts: The AI Networking Trade Has a Clear Winner",53.34,34.88,4362237440.0,,31.52,38.32,80.63,BUY SIGNAL
TXN,https://www.tradingview.com/chart/?symbol=TXN,Texas Instruments Incorporated,Technology,314.605,286319771648,18.6,31.3,49.08,17.33,64.39,246.37,200.0,True,True,True,BULLISH TREND,False,67.79,POSITIVE,5,Texas Instruments (TXN) Valuation Check After Strong Q1 Results And Growing AI Data Center Demand | Stocks Finish Mostly Higher on Iran Peace Progress | Micron Hits a $1 Trillion Valuation: What's Next?,53.78,33.35,1068249984.0,83.741,32.35,29.11,80.62,BUY SIGNAL
CF,https://www.tradingview.com/chart/?symbol=CF,"CF Industries Holdings, Inc.",Basic Materials,117.315,18023018496,19.4,115.1,18.34,-4.72,47.74,123.95,96.1,False,True,True,NO CLEAR ENTRY,False,58.27,NEUTRAL,5,DOW Partners With Univar Solutions for Silicone Additives in EMEA | BASFY to Sell Off Silicates Business With Dusseldorf Assets to PQ | BASF and Cromology Turn Waste Tires Into Sustainable Wall Paint,10.56,11.17,1076375040.0,43.847,27.3,23.73,80.61,BUY SIGNAL
STX,https://www.tradingview.com/chart/?symbol=STX,Seagate Technology Holdings plc,Technology,869.66,195002974208,44.1,108.3,113.61,45.95,62.18,597.73,359.67,True,True,True,BULLISH TREND,False,67.24,POSITIVE,5,Stock Market Today: Dow Higher As Oil Falls To $90; Tesla Nears Buy Point (Live Coverage) | Sandisk raised as Barclays says memory/storage ‘the most attractive vertical’ | Seagate vs. NetApp: Which Data Management Stock is the Better Bet?,82.28,32.88,1610000000.0,381.553,1787.97,21.6,80.58,BUY SIGNAL
MPWR,https://www.tradingview.com/chart/?symbol=MPWR,"Monolithic Power Systems, Inc.",Technology,1612.68,79230967808,26.1,39.5,41.41,1.58,47.17,1398.74,1084.19,True,True,True,BULLISH TREND,False,64.76,POSITIVE,5,"If You Invested $1000 in Monolithic Power a Decade Ago, This is How Much It'd Be Worth Now | Vicor Stock Surges on Guidance Boost, Lifts Power Chip Stocks Like Wolfspeed | Are Wall Street Analysts Bullish on Monolithic Power Systems Stock?",115.44,53.47,491719136.0,0.543,19.57,22.98,80.38,BUY SIGNAL
WST,https://www.tradingview.com/chart/?symbol=WST,"West Pharmaceutical Services, Inc.",Healthcare,309.495,21865076736,21.0,56.1,21.78,2.49,47.58,280.54,264.95,True,True,True,BULLISH TREND,False,53.99,NEUTRAL,5,Stryker Launches Pangea Plating System in Europe for Fracture Fixation | Here's Why You Should Add BrightSpring Stock to Your Portfolio Now | Natera Expands Austin Operations With New Sequencing Facility,41.32,32.4,275662496.0,10.734,19.13,16.85,80.17,BUY SIGNAL
AMD,https://www.tradingview.com/chart/?symbol=AMD,"Advanced Micro Devices, Inc.",Technology,493.6599,804962107392,37.8,91.2,146.57,47.52,66.69,315.34,234.14,True,True,True,BULLISH TREND,False,50.3,NEUTRAL,5,"The ‘Insatiable’ Logic Behind Micron’s ‘Extreme’ Gains | TSMC, IBD Stock Of The Day, Flirts With Buy Point As Chip Giant Will Raise Prices Amid AI Demand | Why These Semiconductor Stocks Could Surge 50% in the Next 12 Months",163.46,38.09,7173374976.0,6.005,8.06,13.37,79.97,BUY SIGNAL
JBL,https://www.tradingview.com/chart/?symbol=JBL,Jabil Inc.,Technology,371.385,39182094336,23.1,96.2,40.18,9.0,49.68,315.74,247.95,True,True,True,BULLISH TREND,False,60.96,POSITIVE,5,"JBL Gains From Strength in Intelligent Infrastructure: Will it Last? | Rogers, Jabil, and Benchmark Stocks Trade Up, What You Need To Know | What to Know About This Fund's $7 Million Bet on an AI-Focused IT Turnaround",50.12,25.45,1203750016.0,328.91,59.7,2.48,79.83,BUY SIGNAL
AVGO,https://www.tradingview.com/chart/?symbol=AVGO,Broadcom Inc.,Technology,420.11,1989081432064,29.5,31.6,31.75,0.46,47.69,380.89,350.08,True,True,True,BULLISH TREND,False,53.43,NEUTRAL,5,"$1.29B bitcoin dark pool trade: What to know | $1.29 billion of BlackRock's bitcoin ETF sold in dark pool trade | Broadcom Stock Is Ready To Buy, But There's A Catch",81.57,22.96,25503750144.0,82.704,33.37,36.57,79.72,BUY SIGNAL
CIEN,https://www.tradingview.com/chart/?symbol=CIEN,Ciena Corporation,Technology,589.87,83406692352,33.1,232.3,69.16,16.5,52.48,493.9,277.53,True,True,True,BULLISH TREND,False,60.77,POSITIVE,5,"Ooma (OOMA) Q1 Earnings and Revenues Surpass Estimates | Ciena vs. Coherent: Which Optical Networking Stock is the Better Bet? | BofA raises Cisco, Ciena targets as AI optics boom accelerates",375.71,67.31,699300736.0,56.931,8.2,4.47,79.56,BUY SIGNAL
ARM,https://www.tradingview.com/chart/?symbol=ARM,Arm Holdings plc,Technology,304.17,323636461568,20.1,45.7,138.66,40.9,66.85,189.81,148.82,True,True,True,BULLISH TREND,False,64.22,POSITIVE,5,"Arm Surges as Nvidia's Vera Drives CPU Demand | Semiconductor shares climb in premarket trade as investor confidence improves | AI Chip Stocks Jump as Qualcomm Explodes Higher, AMD Leads Semiconductor Rally",362.11,99.56,772374976.0,5.214,11.95,18.37,79.34,BUY SIGNAL
MU,https://www.tradingview.com/chart/?symbol=MU,"Micron Technology, Inc.",Technology,909.64,1025831993344,196.3,756.0,120.68,73.41,70.03,537.73,330.28,True,True,True,WATCH - OVERBOUGHT,False,51.09,NEUTRAL,5,"Tech stocks today: Samsung defuses strike threat, Micron and SK Hynix join the $1 trillion club | Micron stock jumps after company tops $1 trillion in market cap | Micron's valuation hits $1T, nearly tied with Eli Lilly & Berkshire",42.85,8.68,2893499904.0,14.902,39.82,41.49,79.34,BUY SIGNAL
MRVL,https://www.tradingview.com/chart/?symbol=MRVL,"Marvell Technology, Inc.",Technology,200.65,175679733760,22.1,106.3,145.75,26.83,63.2,142.07,97.11,True,True,True,BULLISH TREND,False,51.26,NEUTRAL,5,"Stock market today: Dow rises, S&P 500 and Nasdaq retreat from records as tech momentum fades, oil falls amid US-Iran talks | Salesforce, HP earnings to give insight into AI demand, PC market | TSMC, IBD Stock Of The Day, Flirts With Buy Point As Chip Giant Will Raise Prices Amid AI Demand",65.57,36.27,1442787456.0,33.479,19.25,32.58,79.3,BUY SIGNAL
AMAT,https://www.tradingview.com/chart/?symbol=AMAT,"Applied Materials, Inc.",Technology,446.99,354963357696,11.4,33.5,20.21,10.54,55.81,392.82,289.21,True,True,True,BULLISH TREND,False,61.64,POSITIVE,5,"KLA vs. Applied Materials: Which Chip Equipment Stock Wins Now? | Why KLA Corporation (KLAC) Stock Is Up Today | FormFactor, Amkor, and Teradyne Shares Are Soaring, What You Need To Know",42.02,27.65,3040375040.0,30.399,39.69,29.31,79.28,BUY SIGNAL
ADI,https://www.tradingview.com/chart/?symbol=ADI,"Analog Devices, Inc.",Technology,414.27,201785540608,37.2,110.5,16.8,5.52,49.47,369.35,295.67,True,True,True,BULLISH TREND,False,66.39,POSITIVE,5,"Here's How Much You'd Have If You Invested $1000 in Analog Devices a Decade Ago | Is Now An Opportune Moment To Examine Analog Devices, Inc. (NASDAQ:ADI)? | 5 Must-Read Analyst Questions From Analog Devices’s Q1 Earnings Call",61.65,28.04,3868954624.0,25.81,9.64,26.01,79.16,BUY SIGNAL
GLW,https://www.tradingview.com/chart/?symbol=GLW,Corning Incorporated,Technology,189.8715,163383476224,20.0,138.9,26.24,12.99,53.97,164.88,110.95,True,True,True,BULLISH TREND,False,57.69,NEUTRAL,5,"GLW Rides on Solid Traction in the Solar Vertical: Will it Persist? | Dow Jones Futures Rise, Oil Prices Fall: Trump Says No 'Rush' For Iran Deal | Wall Street Was Sleeping on the ""Bits-to-Atoms"" Trade. This Growth Stock Could Profit.",91.27,44.95,612000000.0,80.363,16.74,11.09,78.57,BUY SIGNAL
UAL,https://www.tradingview.com/chart/?symbol=UAL,"United Airlines Holdings, Inc.",Industrials,112.97,36666642432,10.6,84.5,6.27,22.93,68.26,94.68,101.43,True,True,False,BULLISH TREND,False,67.52,POSITIVE,5,"Oil Prices Fall, Despite Iran's 14-Point 'Fabrication'; Airline Stocks Fly | Airline stocks rally as oil retreat eases fuel cost pressure | Wall Street hangs near its records as oil prices ease",10.1,7.97,1647000064.0,195.081,25.73,6.06,78.25,BUY SIGNAL
PWR,https://www.tradingview.com/chart/?symbol=PWR,"Quanta Services, Inc.",Industrials,738.01,110745886720,26.3,51.0,31.09,15.81,38.91,646.35,497.57,True,True,True,BULLISH TREND,False,64.93,POSITIVE,5,Jacobs-Stantec JV Wins 5-Year Water Infrastructure Deal in Melbourne | Comfort Systems' Construction Mix Shift: Is New Demand Peaking Yet? | Can EMCOR's Mechanical Construction Strength Offset Margin Pressure?,101.51,44.87,1037176768.0,69.121,13.53,3.67,78.14,BUY SIGNAL
DVA,https://www.tradingview.com/chart/?symbol=DVA,DaVita Inc.,Healthcare,196.01,12580901888,6.0,43.5,25.41,30.63,53.09,164.98,137.28,True,True,True,BULLISH TREND,False,62.42,POSITIVE,5,1 S&P 500 Stock Worth Investigating and 2 That Underwhelm | Best Growth Stocks to Buy for May 26th | Are Medical Stocks Lagging  Quest Diagnostics (DGX) This Year?,18.88,11.41,999662976.0,1261.331,80.98,5.65,77.89,BUY SIGNAL
NUE,https://www.tradingview.com/chart/?symbol=NUE,Nucor Corporation,Basic Materials,245.16,55832969216,21.3,382.1,39.08,14.03,60.41,201.44,167.52,True,True,True,BULLISH TREND,False,58.89,NEUTRAL,5,"Why Is Nucor (NUE) Up 6.7% Since Last Earnings Report? | The Best Warren Buffett Stocks to Buy With $300 Right Now | Here Are Tuesday’s Top Wall Street Analyst Research Calls: Albemarle, Booz Allen Hamilton, Cigna, DT Midstream, GE Vernova, Intel, Okta, Travelers, Occidental Petroleum, and More",24.35,15.53,-384100000.0,31.595,12.29,6.82,77.61,BUY SIGNAL
EOG,https://www.tradingview.com/chart/?symbol=EOG,"EOG Resources, Inc.",Energy,136.1,72490745856,15.6,39.6,10.54,2.16,52.38,137.62,117.87,False,True,True,NO CLEAR ENTRY,False,54.88,NEUTRAL,5,Here’s What Differentiates EOG Resources (EOG) from Competitors | Here’s Why EOG Resources (EOG) Surged in Q1 | IEO’s $0.55 quarterly dividend faces a critical test as oil prices hover near 12-month highs,13.38,9.36,2864250112.0,26.873,18.2,23.32,77.49,BUY SIGNAL
INCY,https://www.tradingview.com/chart/?symbol=INCY,Incyte Corporation,Healthcare,97.3501,19448813568,20.9,83.8,-3.87,1.7,40.03,95.71,95.54,True,True,True,BULLISH TREND,False,57.84,NEUTRAL,5,Incyte Sets Mid-Year Phase 3 Trial for CALR Antibody 989 as Pipeline Updates Roll Out | How Incyte’s AI-Powered R&D Partnerships At Incyte (INCY) Has Changed Its Investment Story | Incyte CEO Says Post-Jakafi Growth Path Is Clearer as Pipeline Catalysts Build,13.75,10.74,558867008.0,0.701,30.82,26.71,77.23,BUY SIGNAL
SMCI,https://www.tradingview.com/chart/?symbol=SMCI,"Super Micro Computer, Inc.",Technology,38.125,22929080320,122.7,326.0,17.71,36.89,60.06,28.16,36.0,True,True,False,BULLISH TREND,False,61.98,POSITIVE,5,"Nvidia CEO Jensen Huang delivers sharp message to major customer | Xerox and Super Micro Shares Are Soaring, What You Need To Know | Dell and Diebold Nixdorf Stocks Trade Up, What You Need To Know",20.07,11.84,-7448383488.0,120.798,17.88,3.7,76.76,BUY SIGNAL
CBOE,https://www.tradingview.com/chart/?symbol=CBOE,"Cboe Global Markets, Inc.",Financial Services,349.355,36561321984,6.5,54.4,16.56,17.06,52.13,314.48,270.46,True,True,True,BULLISH TREND,False,53.82,NEUTRAL,5,Don't Bet on a Nike Stock Rebound Just Yet | ICE Stock Declines 13% in a Year: What Should Investors Do Now? | 3 Reasons Why Growth Investors Shouldn't Overlook CBOE (CBOE),29.86,24.25,1003075008.0,29.489,25.14,25.77,76.66,BUY SIGNAL
FRT,https://www.tradingview.com/chart/?symbol=FRT,Federal Realty Investment Trust,Real Estate,121.3,10543202304,10.3,152.5,12.72,9.11,68.55,110.63,101.53,True,True,True,BULLISH TREND,False,60.21,POSITIVE,5,"Realty Income's Scale Test: Can 15,571 Properties Cushion the Business? | Federal Realty Investment Trust Stock Outlook: Is Wall Street Bullish or Bearish? | Federal Realty vs. Regency Centers: Which Retail REIT to Buy Now?",21.02,39.24,448925248.0,138.432,14.78,38.57,76.52,BUY SIGNAL
CAT,https://www.tradingview.com/chart/?symbol=CAT,Caterpillar Inc.,Industrials,908.18,418300395520,22.2,30.2,22.49,9.58,45.87,806.59,628.89,True,True,True,BULLISH TREND,False,45.58,NEUTRAL,5,"Dow Jones Futures Rise After S&P 500, Nasdaq Hit Highs; 5 AI Stocks In Buy Areas | Is Caterpillar a Buy, Sell, or Hold Amid the Iran War? | A $10.2 Billion Hidden AI Revenue Stream Most Investors Are Missing",45.23,30.46,3776624896.0,230.793,51.33,13.33,76.5,BUY SIGNAL
CSCO,https://www.tradingview.com/chart/?symbol=CSCO,"Cisco Systems, Inc.",Technology,119.26,470055485440,12.0,37.1,50.9,35.12,83.81,91.4,77.77,True,True,True,WATCH - OVERBOUGHT,False,67.28,POSITIVE,5,Forget Cisco: Nokia Is the AI Networking Stock Nobody’s Watching | Okta’s EnterpriseClaw Role Links AI Identity Demand To Rich Valuation | AI Buildout Fuels Record Results for These Companies,39.62,24.99,9288375296.0,67.541,25.23,19.68,75.38,BUY SIGNAL
KLAC,https://www.tradingview.com/chart/?symbol=KLAC,KLA Corporation,Technology,1965.275,256718995456,11.5,11.8,29.07,3.57,59.89,1712.81,1335.82,True,True,True,BULLISH TREND,False,74.79,POSITIVE,5,Assessing Whether KLA (KLAC) Looks Overvalued After Its Strong Recent Share Price Run | KLA vs. Applied Materials: Which Chip Equipment Stock Wins Now? | Why KLA Corporation (KLAC) Stock Is Up Today,55.52,39.42,2890187008.0,105.4,94.98,35.66,74.63,WATCHLIST
NDAQ,https://www.tradingview.com/chart/?symbol=NDAQ,"Nasdaq, Inc.",Financial Services,90.2,51011776512,13.7,33.8,3.32,-0.25,55.41,88.05,89.84,True,True,False,BULLISH TREND,False,61.99,POSITIVE,5,Is Nasdaq (NDAQ) Still Undervalued After Strong Q1 And SEC Approval For Bitcoin Index Options | Forget SpaceX's IPO Day! Its Shares Can Skyrocket on July 7 -- but Retail Investors Would be Wise to Avoid This Potential Trap. | ICE Stock Declines 13% in a Year: What Should Investors Do Now?,27.17,20.37,1559624960.0,79.058,16.2,35.28,74.41,WATCHLIST
DELL,https://www.tradingview.com/chart/?symbol=DELL,Dell Technologies Inc.,Technology,308.0801,200119058432,39.5,57.3,108.69,42.65,72.4,206.94,151.16,True,True,True,WATCH - OVERBOUGHT,False,46.24,NEUTRAL,5,"Earnings live updates: Zscaler stock plunges 31% on cautious guidance | HPE Gears Up to Report Q2 Earnings: What's in Store for the Stock? | Donald Trump Shouted Out Intel, Then Dell, Then Micron: Look At His Own Stock Filings To See Who May Get The Next Shoutout",35.45,20.62,6606750208.0,,,5.23,74.2,WATCHLIST
WELL,https://www.tradingview.com/chart/?symbol=WELL,Welltower Inc.,Real Estate,215.945,152438702080,38.3,157.9,4.62,3.18,50.33,208.47,190.23,True,True,True,BULLISH TREND,False,59.0,NEUTRAL,5,Scotiabank Raises its Price Target on Welltower (WELL) | Welltower Stock Gains 16.9% Year to Date: Will It Continue to Rise? | Real Estate ETF XLRE Offers Steady Dividends With One Major Caution,104.32,64.27,2600212736.0,44.486,3.67,11.96,73.67,WATCHLIST
FTNT,https://www.tradingview.com/chart/?symbol=FTNT,"Fortinet, Inc.",Technology,127.775,93614145536,20.1,28.6,61.68,49.15,84.76,94.12,84.65,True,True,True,WATCH - OVERBOUGHT,False,61.2,POSITIVE,5,"If You Invested $1000 in Fortinet 10 Years Ago, This Is How Much You'd Have Now | Top Cybersecurity Stocks to Buy as AI-Driven Demand Fuels Growth | Why Fortinet (FTNT) Is Up 5.9% After Expanding NVIDIA‑Powered FortiAIGate AI Security Capabilities",49.33,37.3,1813049984.0,57.31,132.39,27.49,73.5,WATCHLIST
GEN,https://www.tradingview.com/chart/?symbol=GEN,Gen Digital Inc.,Technology,24.835,14961443840,27.0,265.2,10.63,31.27,86.39,20.51,24.85,True,False,False,WATCH - OVERBOUGHT,False,61.97,POSITIVE,5,"GE Vernova (GEV): Argus Raises Its Target to $1,300 After a Blowout Quarter | Gen Digital Bets On AI Browser Security To Support Norton Ecosystem | Gen Digital Inc. Q4 2026 Earnings Call Summary",15.82,7.56,1422249984.0,316.354,39.88,19.46,73.46,WATCHLIST
META,https://www.tradingview.com/chart/?symbol=META,"Meta Platforms, Inc.",Communication Services,611.48,1552194994176,33.1,62.4,-5.58,-9.89,48.97,617.47,667.13,False,False,False,NO CLEAR ENTRY,False,58.87,NEUTRAL,5,"Meta board member Dana White says Mark Zuckerberg is like Trump, Carl Icahn, and Michael Jordan in one key way | Micron joins the $1 trillion club as AI memory rally outruns megacaps: Chart of the Day | $1.29B bitcoin dark pool trade: What to know",22.24,16.91,25558249472.0,35.608,32.93,32.84,73.31,WATCHLIST
ROK,https://www.tradingview.com/chart/?symbol=ROK,"Rockwell Automation, Inc.",Industrials,458.17,50982387712,11.9,39.6,12.8,12.94,50.13,403.64,381.71,True,True,True,BULLISH TREND,False,59.94,NEUTRAL,5,"Hubbell, Rockwell Automation, and First Solar Shares Skyrocket, What You Need To Know | Assessing Rockwell Automation (ROK) Valuation After Recent Share Price Momentum And Planned US$2b Investment | What Makes Rockwell Automation (ROK) a High-Quality Compounder?",47.58,31.57,974499968.0,113.367,27.18,12.36,73.3,WATCHLIST
