Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,525.93,181278670848,45.5,482.9,100.67,13.36,63.89,428.89,244.66,True,True,True,BULLISH TREND,False,48.84,NEUTRAL,5,"Up 981%, Is Western Digital Stock Still a Buy? | Seagate, Western Digital Stocks Climb As Analysts Hike Price Targets | SNDK's New Business Model Boosts Profitability: Time to Buy the Stock?",31.44,29.55,2075000064.0,17.81,85.92,55.29,89.11,BUY SIGNAL
AFL,https://www.tradingview.com/chart/?symbol=AFL,Aflac Incorporated,Financial Services,115.58,58828476416,27.9,3860.0,5.44,2.27,42.26,113.57,110.01,True,True,True,BULLISH TREND,False,60.52,POSITIVE,5,"Aflac Stock: Is AFL Outperforming the Financial Sector? | Piper Sandler Raises Aflac (AFL) Price Target, Favors Insurance Carriers over Brokers | Why Is Aflac (AFL) Down 0.9% Since Last Earnings Report?",13.21,15.2,4923125248.0,48.276,16.47,25.6,82.94,BUY SIGNAL
CF,https://www.tradingview.com/chart/?symbol=CF,"CF Industries Holdings, Inc.",Basic Materials,111.48,17126592512,19.4,115.1,0.81,-5.68,26.87,122.14,97.34,False,True,True,BUY THE DIP,False,57.97,NEUTRAL,5,Huntsman Divests Gomet Business in Italy to Boost Liquidity | Why Is CF (CF) Down 1% Since Last Earnings Report? | BASFY Launches InVigor Gold L322 to Expand US Canola Production,10.04,9.64,1076375040.0,43.847,27.3,23.73,82.89,BUY SIGNAL
GEN,https://www.tradingview.com/chart/?symbol=GEN,Gen Digital Inc.,Technology,25.81,15548817408,27.0,265.2,15.07,28.52,61.57,21.49,24.67,True,True,False,BULLISH TREND,False,62.62,POSITIVE,5,"Gen Digital (GEN) Valuation Check After Best In Class Identity Protection Recognition | GE Vernova (GEV): Argus Raises Its Target to $1,300 After a Blowout Quarter | Gen Digital Bets On AI Browser Security To Support Norton Ecosystem",16.44,7.85,1422249984.0,316.354,39.88,19.46,82.81,BUY SIGNAL
WST,https://www.tradingview.com/chart/?symbol=WST,"West Pharmaceutical Services, Inc.",Healthcare,320.15,22617825280,21.0,56.1,29.16,-0.58,65.42,292.71,267.93,True,True,True,BULLISH TREND,False,54.22,NEUTRAL,5,Here's Why You Should Retain Merit Medical Stock in Your Portfolio Now | NTRA & CytoDyn Partner to Advance ctDNA-Guided Development in mCRC | Wolfe Research Weighs on West Pharmaceutical Services Inc (WST) Stock,42.74,33.57,275662496.0,10.734,19.13,16.85,82.29,BUY SIGNAL
AMZN,https://www.tradingview.com/chart/?symbol=AMZN,"Amazon.com, Inc.",Consumer Cyclical,245.57,2641623515136,16.6,74.8,15.03,-9.44,34.57,251.92,232.24,False,True,True,BUY THE DIP,False,59.75,NEUTRAL,5,"Amazon–Corning AI deal, Marvell stock surges on S&P 500 inclusion | Corning’s Amazon Data Center Deal Deepens AI Ties Despite Valuation Concerns | Top Midday Stories: US Weighs Financial Stakes in AI Firms; Google, Nvidia Turn to Intel as TSMC Struggles With Demand",31.6,24.9,9806624768.0,53.3,24.29,12.22,82.28,BUY SIGNAL
VRT,https://www.tradingview.com/chart/?symbol=VRT,Vertiv Holdings Co,Industrials,303.3,116500193280,30.1,135.7,14.74,-10.8,32.85,314.09,216.84,False,True,True,BUY THE DIP,False,63.19,POSITIVE,5,"Can Applied Digital's Power Strategy Accelerate its Next Growth Leg? | Zacks Investment Ideas feature highlights: Caterpillar, Vertiv and Eaton | 3 Quality Compounders to Target This Week",76.4,34.32,1964749952.0,76.913,45.1,14.37,81.71,BUY SIGNAL
GEV,https://www.tradingview.com/chart/?symbol=GEV,GE Vernova Inc.,Industrials,942.69,253319659520,16.3,1816.5,13.63,-9.84,36.7,1009.01,757.81,False,True,True,BUY THE DIP,False,53.8,NEUTRAL,5,Is Electrification Becoming GE Vernova's Most Valuable Business? | Is GE Vernova Inc. (GEV) A Good Stock To Buy Now? | Why GE Vernova Stock Fell Nearly 11% in May,27.52,38.46,9315624960.0,24.925,75.71,23.81,81.7,BUY SIGNAL
ADI,https://www.tradingview.com/chart/?symbol=ADI,"Analog Devices, Inc.",Technology,410.82,200105099264,37.2,110.5,28.85,0.84,48.09,384.98,302.33,True,True,True,BULLISH TREND,False,71.24,POSITIVE,5,"The Zacks Analyst Blog Highlights Elbit Systems, Analog Devices, HEICO and Teledyne Technologies | The Price of Perfection For Analog Devices Stock | 5 Stocks to Boost Your Portfolio on Soaring Semiconductor Sales",61.32,27.81,3868954624.0,25.81,9.64,26.01,81.65,BUY SIGNAL
NXPI,https://www.tradingview.com/chart/?symbol=NXPI,NXP Semiconductors N.V.,Technology,303.925,76732268544,12.2,130.7,48.84,4.72,54.55,263.84,229.78,True,True,True,BULLISH TREND,False,70.23,POSITIVE,5,The Price of Perfection For Analog Devices Stock | 5 Stocks to Boost Your Portfolio on Soaring Semiconductor Sales | Can TXN's Free Cash Flow Growth Fuel More Shareholder Returns?,29.08,17.24,2727124992.0,103.991,25.81,21.03,81.07,BUY SIGNAL
FTNT,https://www.tradingview.com/chart/?symbol=FTNT,"Fortinet, Inc.",Technology,143.035,104739414016,20.1,28.6,70.58,32.51,67.39,104.02,87.26,True,True,True,BULLISH TREND,False,65.54,POSITIVE,5,"Is Fortinet, Inc. (FTNT) A Good Stock To Buy Now? | Is It Too Late To Consider Fortinet (FTNT) After Its Strong 2024 Share Price Run? | Fortinet (FTNT): FortiGate G Series Expands with New 3500G and 400G Firewalls",55.41,41.73,1813049984.0,57.31,132.39,27.49,81.04,BUY SIGNAL
APP,https://www.tradingview.com/chart/?symbol=APP,AppLovin Corporation,Communication Services,568.42,190954733568,59.0,113.1,9.9,13.94,66.64,475.31,540.83,True,True,False,BULLISH TREND,False,70.09,POSITIVE,5,Insider Favorites High Growth Companies June 2026 | Is Unity Software Inc. (U) A Good Stock To Buy Now? | Exploring 3 High Growth Tech Stocks In The US Market,49.51,25.92,3180097280.0,162.888,266.44,64.29,80.86,BUY SIGNAL
TXN,https://www.tradingview.com/chart/?symbol=TXN,Texas Instruments Incorporated,Technology,292.57,266265853952,18.6,31.3,49.88,2.57,46.52,264.19,204.5,True,True,True,BULLISH TREND,False,68.36,POSITIVE,5,The Price of Perfection For Analog Devices Stock | 3 chip stocks to buy after recent SOX pullback: Citi | 5 Stocks to Boost Your Portfolio on Soaring Semiconductor Sales,50.1,31.08,1068249984.0,83.741,32.35,29.11,80.67,BUY SIGNAL
AMAT,https://www.tradingview.com/chart/?symbol=AMAT,"Applied Materials, Inc.",Technology,492.87,391318765568,11.4,33.5,45.6,20.17,69.58,411.65,301.25,True,True,True,BULLISH TREND,False,51.67,NEUTRAL,5,"3 chip stocks to buy after recent SOX pullback: Citi | Should You Buy, Sell or Hold AMAT Stock After a 167% Rise in a Year? | Are Computer and Technology Stocks Lagging  Applied Materials (AMAT) This Year?",46.28,30.48,3040375040.0,30.399,39.69,29.31,80.58,BUY SIGNAL
JBL,https://www.tradingview.com/chart/?symbol=JBL,Jabil Inc.,Technology,363.165,38314860544,23.1,96.2,46.79,3.9,59.39,331.74,253.96,True,True,True,BULLISH TREND,False,67.19,POSITIVE,5,Can Sanmina's Advanced Healthcare Solutions Boost Its Shares? | Jabil’s Quarterly Beat And Insider Selling Might Change The Case For Investing In JBL | AI Play Jabil Forms Fresh Base Amid Bounce Off 10-Week Line,48.94,24.89,1203750016.0,328.91,59.7,2.48,80.33,BUY SIGNAL
LRCX,https://www.tradingview.com/chart/?symbol=LRCX,Lam Research Corporation,Technology,327.125,409093046272,23.8,40.8,54.93,14.17,66.32,275.36,199.38,True,True,True,BULLISH TREND,False,44.28,NEUTRAL,5,"Should You Buy, Sell or Hold AMAT Stock After a 167% Rise in a Year? | After 11% Wipeout, XSD Investors Must Hate Broadcom | How New U.S. China Chip Export Curbs Will Impact Lam Research (LRCX) Investors",61.96,41.19,4352341504.0,35.282,66.76,30.94,80.24,BUY SIGNAL
AMD,https://www.tradingview.com/chart/?symbol=AMD,"Advanced Micro Devices, Inc.",Technology,490.195,799312248832,37.8,91.2,141.86,20.01,62.91,364.45,247.6,True,True,True,BULLISH TREND,False,52.5,NEUTRAL,5,Micron stock rebounds along with chip sector following broader market rout | Why Advanced Micro Devices Stock Bounced Back Today | Nvidia's 75% Margins Could Hold Through 2030,164.49,37.49,7173374976.0,6.005,8.06,13.37,80.15,BUY SIGNAL
DDOG,https://www.tradingview.com/chart/?symbol=DDOG,"Datadog, Inc.",Technology,230.32,81984757760,32.2,104.0,79.15,22.04,58.58,168.11,147.57,True,True,True,BULLISH TREND,False,52.2,NEUTRAL,5,Wall Street Analysts See Datadog (DDOG) as a Buy: Should You Invest? | 3 Cash-Producing Stocks to Consider Right Now | Datadog (DDOG) Among the Best Performers of May 2026,575.8,80.92,936726528.0,32.221,3.93,3.69,80.13,BUY SIGNAL
EOG,https://www.tradingview.com/chart/?symbol=EOG,"EOG Resources, Inc.",Energy,140.385,74773053440,15.6,39.6,7.45,7.25,45.62,137.36,118.77,True,True,True,BULLISH TREND,False,62.48,POSITIVE,5,Forget High-Flying Oil Drillers: 1 Fee-Based Midstream Giant to Buy Right Now | Here's How ExxonMobil's Advantaged Assets Drive Growth and Resilience | SM Energy (SM) Up 16.7% Since Last Earnings Report: Can It Continue?,13.8,9.47,2864250112.0,26.873,18.2,23.32,80.1,BUY SIGNAL
MPWR,https://www.tradingview.com/chart/?symbol=MPWR,"Monolithic Power Systems, Inc.",Technology,1568.32,77051559936,26.1,39.5,47.97,-0.48,55.1,1481.24,1114.72,True,True,True,BULLISH TREND,False,59.51,NEUTRAL,5,"Teradyne and Monolithic Power Systems Shares Plummet, What You Need To Know | How This Chipmaker Turned Its Nvidia-Tied Fracas Into A Comeback Story | Is Bloom Energy Setting Up For Its Next Move?",112.67,52.0,491719136.0,0.543,19.57,22.98,79.96,BUY SIGNAL
CAT,https://www.tradingview.com/chart/?symbol=CAT,Caterpillar Inc.,Industrials,904.915,416796573696,22.2,30.2,28.63,1.03,59.17,839.02,648.54,True,True,True,BULLISH TREND,False,58.33,NEUTRAL,5,"These Are 5 Of The Best Stocks To Buy Or Watch Now | The Zacks Analyst Blog Highlights Caterpillar, Coca-Cola, HSBC, SandRidge Energy and NVE | Zacks Investment Ideas feature highlights: Caterpillar, Vertiv and Eaton",45.07,30.18,3776624896.0,230.793,51.33,13.33,79.62,BUY SIGNAL
UAL,https://www.tradingview.com/chart/?symbol=UAL,"United Airlines Holdings, Inc.",Industrials,105.36,34196666368,10.6,84.5,11.47,5.68,65.76,97.24,101.82,True,True,False,BULLISH TREND,False,43.85,NEUTRAL,5,"Stocks to Watch: Marvell Technology, Apple, Broadcom, Strategy | United, Delta and American Face New Pressure | IATA Cuts 2026 Airline Profit Forecast by Nearly Half as Fuel Shock Pressures Industry",9.42,7.41,1647000064.0,195.081,25.73,6.06,79.16,BUY SIGNAL
CSCO,https://www.tradingview.com/chart/?symbol=CSCO,"Cisco Systems, Inc.",Technology,124.89,492245778432,12.0,37.1,64.76,35.51,57.33,98.57,80.03,True,True,True,BULLISH TREND,False,58.34,NEUTRAL,5,1 Growth Stock to Stash and 2 We Question | Wall Street Analysts See Cisco (CSCO) as a Buy: Should You Invest? | Cisco Exec Admits Every Competitor Was Beating Them. Now He's Saying AI Just 'Changed' The Game In Their Favor.,41.63,26.17,9288375296.0,67.541,25.23,19.68,79.12,BUY SIGNAL
MNST,https://www.tradingview.com/chart/?symbol=MNST,Monster Beverage Corporation,Consumer Defensive,88.555,86607511552,26.9,28.9,16.94,16.57,50.06,80.46,74.97,True,True,True,BULLISH TREND,False,55.69,NEUTRAL,5,Morgan Stanley Raises PT on Monster Beverage (MNST) Stock | CELH and Zero-Sugar Energy Trends to Watch Through 2026 | Is CELH a Buy After Q1 2026 Results and Share Buybacks?,42.78,34.24,1684340480.0,1.082,26.65,23.11,78.66,BUY SIGNAL
ANET,https://www.tradingview.com/chart/?symbol=ANET,"Arista Networks, Inc.",Technology,157.3,198067355648,35.1,25.0,14.68,10.97,61.54,152.97,141.07,True,True,True,BULLISH TREND,False,65.06,POSITIVE,5,"Is Arista Networks, Inc. (ANET) A Good Stock To Buy Now? | Ciena's Mountain Of Orders Is Starting To Look A Little Scary | Arista Networks, Inc. (ANET) is Attracting Investor Attention: Here is What You Should Know",53.87,35.35,4362237440.0,,31.52,38.32,78.55,BUY SIGNAL
ROST,https://www.tradingview.com/chart/?symbol=ROST,"Ross Stores, Inc.",Consumer Cyclical,227.82,73118842880,20.6,37.4,7.67,1.54,64.21,223.31,187.22,True,True,True,BULLISH TREND,False,53.33,NEUTRAL,5,"Zacks.com featured highlights include Ross Stores, TE Connectivity, Cenovus Energy, Globe Life and The Charles Schwab | Is Ross Stores, Inc. (ROST) A Good Stock To Buy Now? | The Market Has Ollie’s Bargain Outlet Completely Wrong",31.84,26.61,2047583488.0,74.911,38.98,9.74,78.22,BUY SIGNAL
DVA,https://www.tradingview.com/chart/?symbol=DVA,DaVita Inc.,Healthcare,191.515,12292389888,6.0,43.5,25.53,-2.42,38.48,171.46,139.61,True,True,True,BULLISH TREND,False,65.31,POSITIVE,5,Assessing DaVita (DVA) Valuation After Strong Q1 2026 Beat And Upgraded Guidance | Q1 Earnings Highs And Lows: DaVita (NYSE:DVA) Vs The Rest Of The Outpatient & Specialty Care Stocks | Akebia Therapeutics Sees Vafseo Uptake Rising as Access and Pipeline Milestones Near,18.45,11.15,999662976.0,1261.331,80.98,5.65,78.12,BUY SIGNAL
GLW,https://www.tradingview.com/chart/?symbol=GLW,Corning Incorporated,Technology,187.76,161593360384,20.0,138.9,45.72,3.1,54.76,173.34,115.72,True,True,True,BULLISH TREND,False,51.2,NEUTRAL,5,"Amazon–Corning AI deal, Marvell stock surges on S&P 500 inclusion | Corning’s Amazon Data Center Deal Deepens AI Ties Despite Valuation Concerns | Top Midday Stories: US Weighs Financial Stakes in AI Firms; Google, Nvidia Turn to Intel as TSMC Struggles With Demand",90.27,44.84,612000000.0,80.363,16.74,11.09,78.05,BUY SIGNAL
AAPL,https://www.tradingview.com/chart/?symbol=AAPL,Apple Inc.,Technology,313.52,4604779560960,16.6,21.8,20.75,9.17,66.78,282.3,265.2,True,True,True,BULLISH TREND,False,54.4,NEUTRAL,5,"Siri update, AI take center stage at Apple's WWDC | Apple WWDC preview: Apple gets a second shot at its AI rollout | Apple At The Bottom Of The Big Tech Barrel",37.91,32.63,101090746368.0,79.548,141.47,27.15,77.8,BUY SIGNAL
CPAY,https://www.tradingview.com/chart/?symbol=CPAY,"Corpay, Inc.",Technology,351.205,22955431936,25.4,49.1,7.86,14.87,52.14,325.54,311.1,True,True,True,BULLISH TREND,False,56.4,NEUTRAL,5,A Look At Corpay (CPAY) Valuation After Its Q1 Beat And Cautious Full Year Guidance | Diversified Financial Services Stocks Q1 In Review: Corpay (NYSE:CPAY) Vs Peers | Do Wall Street Analysts Like Corpay Stock?,21.02,11.48,2095142784.0,271.343,32.12,24.6,77.41,BUY SIGNAL
ROK,https://www.tradingview.com/chart/?symbol=ROK,"Rockwell Automation, Inc.",Industrials,450.4725,50125856768,11.9,39.6,20.32,0.74,58.1,419.56,386.44,True,True,True,BULLISH TREND,False,62.41,POSITIVE,5,"Rockwell Automation (ROK) Up 0.5% Since Last Earnings Report: Can It Continue? | DKILY or ROK: Which Is the Better Value Stock Right Now? | Hubbell, Rockwell Automation, and First Solar Shares Skyrocket, What You Need To Know",46.68,31.04,974499968.0,113.367,27.18,12.36,75.59,BUY SIGNAL
CDNS,https://www.tradingview.com/chart/?symbol=CDNS,"Cadence Design Systems, Inc.",Technology,393.41,108508774400,18.7,23.0,31.99,10.23,64.22,336.17,324.7,True,True,True,BULLISH TREND,False,55.3,NEUTRAL,5,"Intel was on the brink of downfall. A twist in the AI race could boost its revival | Brokers Suggest Investing in Cadence (CDNS): Read This Before Placing a Bet | Is Trending Stock Cadence Design Systems, Inc. (CDNS) a Buy Now?",91.7,41.92,1499152256.0,46.992,20.66,21.18,74.97,WATCHLIST
FFIV,https://www.tradingview.com/chart/?symbol=FFIV,"F5, Inc.",Technology,399.395,22533564416,11.0,4.0,39.98,15.76,61.36,339.65,296.3,True,True,True,BULLISH TREND,False,55.42,NEUTRAL,5,"DOCU vs. FFIV: Which Stock Should Value Investors Buy Now? | Astera Labs, Inc. (ALAB) Up 70% Since Last Earnings Report: Can It Continue? | How Investors Are Reacting To F5 (FFIV) Automating TLS Certificate Management With Encryption Consulting Integration",32.76,22.58,759182528.0,7.12,20.34,21.96,74.88,WATCHLIST
AVGO,https://www.tradingview.com/chart/?symbol=AVGO,Broadcom Inc.,Technology,395.71,1872963698688,47.9,85.4,14.68,-4.09,43.53,400.13,355.45,False,True,True,NO CLEAR ENTRY,False,61.46,POSITIVE,5,"Are semiconductor stocks, AI trade in recovery mode after selloff? | You are right to be worried about a summer stock market swoon, but don't lose perspective on the big picture | Got $25,000? Broadcom or Qualcomm: The Clear Winner for Growth Investors This Year",65.71,20.44,27212249088.0,74.018,37.28,38.85,74.37,WATCHLIST
SPG,https://www.tradingview.com/chart/?symbol=SPG,"Simon Property Group, Inc.",Real Estate,206.945,78634885120,19.3,16.4,8.56,2.75,64.36,200.77,186.69,True,True,True,BULLISH TREND,False,50.0,NEUTRAL,5,Four REITs Fund 45% of This Income ETF’s Distributions Right Now | Is Simon Property Stock Outperforming the S&P 500? | Shifting Story For Simon Property Group (SPG) As Analysts Rework Valuations And Leadership Changes,14.38,30.86,2494690560.0,457.473,113.59,70.59,74.1,WATCHLIST
NEM,https://www.tradingview.com/chart/?symbol=NEM,Newmont Corporation,Basic Materials,99.535,106258866176,45.8,78.6,-14.7,-12.09,35.18,111.42,100.88,False,False,True,NO CLEAR ENTRY,False,50.0,NEUTRAL,5,Gold Stocks Are in a Bear Market. The Case for Buying. | Here's Why Newmont Corporation (NEM) Fell More Than Broader Market | Is Newmont Stock Outperforming the S&P 500?,12.91,8.75,9804874752.0,15.762,25.83,33.87,74.05,WATCHLIST
LLY,https://www.tradingview.com/chart/?symbol=LLY,Eli Lilly and Company,Healthcare,1154.88,1030496321536,55.5,169.9,14.72,18.66,78.01,977.09,947.09,True,True,True,WATCH - OVERBOUGHT,False,68.17,POSITIVE,5,"These Are 5 Of The Best Stocks To Buy Or Watch Now | A Weight-Loss Rival Just Crashed 23%. Why That's Great News for Eli Lilly and Novo Nordisk. | Eli Lilly, Novo Both Share Good News on Weight-Loss Drugs. Only One Stock Is Rising.",41.02,25.97,9156599808.0,139.015,107.46,34.99,73.5,WATCHLIST
KLAC,https://www.tradingview.com/chart/?symbol=KLAC,KLA Corporation,Technology,2112.9958,276015415296,11.5,11.8,48.04,19.99,68.35,1794.69,1380.33,True,True,True,BULLISH TREND,False,55.54,NEUTRAL,5,"Is KLA Corporation (KLAC) A Good Stock To Buy Now? | Should You Buy, Sell or Hold AMAT Stock After a 167% Rise in a Year? | Entegris and KLA Corporation Stocks Trade Down, What You Need To Know",59.86,42.38,2890187008.0,105.4,94.98,35.66,73.09,WATCHLIST
META,https://www.tradingview.com/chart/?symbol=META,"Meta Platforms, Inc.",Communication Services,586.01,1487541501952,33.1,62.4,-9.4,-4.99,41.62,620.29,660.95,False,False,False,NO CLEAR ENTRY,False,54.85,NEUTRAL,5,Italy regulator drops investigation into Meta's WhatsApp AI bot | Apple At The Bottom Of The Big Tech Barrel | Jensen Huang’s Huge AI Prediction Has Just One Tiny Problem,21.29,16.21,25558249472.0,35.608,32.93,32.84,72.99,WATCHLIST
EQT,https://www.tradingview.com/chart/?symbol=EQT,EQT Corporation,Energy,53.185,33266049024,49.9,490.0,-14.29,-5.4,31.97,57.86,56.31,False,False,True,NO CLEAR ENTRY,False,56.6,NEUTRAL,5,"Consolidation Wave Reshapes Energy Sector: 3 Stocks Vulnerable to Acquisition, Ranked | The Bull Case For EQT (EQT) Could Change Following Data Center‑Fueled Gas Demand Boosting Earnings – Learn Why | EQT’s New Digital Infrastructure Fund And What It Means For Valuation",10.09,11.48,2503225856.0,20.816,13.4,35.07,72.83,WATCHLIST
MCHP,https://www.tradingview.com/chart/?symbol=MCHP,Microchip Technology Incorporated,Technology,91.67,49692409856,35.1,,41.74,-9.3,49.16,85.83,70.66,True,True,True,HIGH CONVICTION DIP BUY,True,68.95,POSITIVE,5,The Price of Perfection For Analog Devices Stock | 5 Stocks to Boost Your Portfolio on Soaring Semiconductor Sales | Microchip Technology (MCHP) Expects Significant Growth in Data Center Solutions Revenue,416.68,22.41,1139912448.0,87.715,3.4,4.88,72.82,WATCHLIST
GNRC,https://www.tradingview.com/chart/?symbol=GNRC,Generac Holdings Inc.,Industrials,267.03,15719703552,12.4,69.9,28.93,0.1,56.84,239.95,192.65,True,True,True,BULLISH TREND,False,48.72,NEUTRAL,5,Generac Holdings (GNRC) Announces Supply Deal with Major Data Center Operator | MarketBeat Week in Review – 06/01 - 06/05 | Trimble (TRMB) Down 9.9% Since Last Earnings Report: Can It Rebound?,83.71,24.07,115297624.0,52.086,7.39,4.37,72.6,WATCHLIST
PTC,https://www.tradingview.com/chart/?symbol=PTC,PTC Inc.,Technology,136.6,15778092032,21.7,268.9,-16.41,-7.48,38.61,140.53,169.88,False,False,False,NO CLEAR ENTRY,False,59.72,NEUTRAL,5,"Mazda Motor Settles on PTC Inc. (PTC)’s Codebeamer for Software-Defined Vehicle Development | PTC Faces A Target Cut, But An Emerging Trend Could Change The Narrative | Why Is PTC Inc. (PTC) Down 6% Since Last Earnings Report?",13.12,15.8,986047232.0,35.78,34.4,41.58,72.58,WATCHLIST
