Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,218.16,5284053385216,85.2,214.5,19.17,11.0,35.27,202.91,188.41,True,True,True,BULLISH TREND,False,68.52,POSITIVE,5,Broadcom's sell-off just entered megacap history | Is OpenAI coming for Tesla's robotics business? | NVIDIA (NVDA): The Most Promising Stock to Buy Right Now,33.41,17.27,46335873024.0,6.555,114.29,62.97,88.58,BUY SIGNAL
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,590.22,203438292992,45.5,482.9,125.99,26.86,78.09,419.94,240.36,True,True,True,WATCH - OVERBOUGHT,False,51.06,NEUTRAL,5,Super Micro (SMCI) Up 36.8% Since Last Earnings Report: Can It Continue? | Micron Drops 7% as Broadcom’s Disappointing AI Outlook Triggers a Semiconductor Selloff | Western Digital (WDC) Hits All-Time High as Citi Hikes PT by 37%,35.36,33.45,2075000064.0,17.81,85.92,55.29,82.08,BUY SIGNAL
KEYS,https://www.tradingview.com/chart/?symbol=KEYS,"Keysight Technologies, Inc.",Technology,343.54,58655502336,31.5,35.6,14.16,-3.48,41.22,333.3,237.52,True,True,True,BULLISH TREND,False,65.88,POSITIVE,5,Keysight vs. Sanmina: Which Electronics Stock Is a Better Buy Now? | Best Momentum Stocks to Buy for June 4th | Can Keysight's New RF Wireless Testing Solutions Drive Future Growth?,55.41,28.98,1143250048.0,43.579,18.17,17.31,82.02,BUY SIGNAL
ROST,https://www.tradingview.com/chart/?symbol=ROST,"Ross Stores, Inc.",Consumer Cyclical,232.52,74588020736,20.6,37.4,9.13,2.24,67.17,222.74,186.39,True,True,True,BULLISH TREND,False,60.67,POSITIVE,5,"Five Below's Beat-And-Raise Quarter May End Its Growth Trajectory | Is It Worth Investing in Ross Stores (ROST) Based on Wall Street's Bullish Views? | The Zacks Analyst Blog Highlights Microchip, Ross Stores, MasTec, Arrow and Littelfuse",32.43,27.15,2047583488.0,74.911,38.98,9.74,81.6,BUY SIGNAL
LRCX,https://www.tradingview.com/chart/?symbol=LRCX,Lam Research Corporation,Technology,338.065,422774276096,23.8,40.8,51.61,22.58,67.18,271.68,197.23,True,True,True,BULLISH TREND,False,52.04,NEUTRAL,5,Mizuho Raises its Price Target on Lam Research (LRCX) | What Do Analysts Say About Lam Research (LRCX)’s Earnings Outlook? | Lam Research Corp (LRCX): Increasing Dependence on Essential Chip Manufacturing,63.91,42.56,4352341504.0,35.282,66.76,30.94,80.86,BUY SIGNAL
FSLR,https://www.tradingview.com/chart/?symbol=FSLR,"First Solar, Inc.",Technology,313.43,33679106048,23.6,65.1,58.88,42.87,83.29,222.26,229.95,True,True,False,WATCH - OVERBOUGHT,False,64.27,POSITIVE,5,"Here is What to Know Beyond Why First Solar, Inc. (FSLR) is a Trending Stock | Selling US$8.5m Of First Solar Stock Rewarded Insiders | Record Sales Lift First Solar Shares",20.26,13.38,1147664768.0,5.943,18.44,30.73,80.84,BUY SIGNAL
AMD,https://www.tradingview.com/chart/?symbol=AMD,"Advanced Micro Devices, Inc.",Technology,523.19,853113896960,37.8,91.2,158.92,47.27,67.01,353.8,244.47,True,True,True,BULLISH TREND,False,60.45,POSITIVE,5,"Tech stocks today: Tech stocks tumble following Broadcom, CrowdStrike earnings | Intel, AMD, Micron shares sink as Broadcom results spark semiconductor sector sell-off | Got $10,000? TSM vs Micron: The Better Buy in 2026",175.57,40.22,7173374976.0,6.005,8.06,13.37,80.79,BUY SIGNAL
ADI,https://www.tradingview.com/chart/?symbol=ADI,"Analog Devices, Inc.",Technology,429.38,209145430016,37.2,110.5,26.07,6.37,51.29,381.43,300.61,True,True,True,BULLISH TREND,False,56.45,NEUTRAL,5,Stocks Retreat as US-Iran Peace Hopes in Doubt | Texas Instruments Stock's Rally Is Asking One Big Question | Stocks Fall on Escalation of US-Iran Hostilities,63.71,29.06,3868954624.0,25.81,9.64,26.01,80.47,BUY SIGNAL
NXPI,https://www.tradingview.com/chart/?symbol=NXPI,NXP Semiconductors N.V.,Technology,324.86,82017746944,12.2,130.7,50.92,11.12,64.52,259.79,229.05,True,True,True,BULLISH TREND,False,59.34,NEUTRAL,5,How Is NXP Semiconductors' Stock Performance Compared to Other Semiconductors Stocks? | Texas Instruments Stock's Rally Is Asking One Big Question | Why Is ON Semiconductor Corp. (ON) Up 25.3% Since Last Earnings Report?,31.06,18.43,2727124992.0,103.991,25.81,21.03,80.2,BUY SIGNAL
MU,https://www.tradingview.com/chart/?symbol=MU,"Micron Technology, Inc.",Technology,1021.58,1152070582272,196.3,756.0,155.01,59.57,71.08,608.22,357.13,True,True,True,WATCH - OVERBOUGHT,False,60.6,POSITIVE,5,"Intel, AMD, Micron shares sink as Broadcom results spark semiconductor sector sell-off | Why Micron Stock Crashed Today | Got $10,000? TSM vs Micron: The Better Buy in 2026",48.28,9.64,2893499904.0,14.902,39.82,41.49,80.1,BUY SIGNAL
CAT,https://www.tradingview.com/chart/?symbol=CAT,Caterpillar Inc.,Industrials,939.71,432822878208,22.2,30.2,28.63,3.88,54.03,831.21,643.64,True,True,True,BULLISH TREND,False,64.12,POSITIVE,5,"When Trump Cuts Tariffs on Farm and Construction Equipment, These 5 Stocks Win Big | SpaceX Targets IPO Price of $135, Raising $75 Billion | Bellwether Stock Surges Above Key Level. Trump Is Why.",46.75,31.34,3776624896.0,230.793,51.33,13.33,80.08,BUY SIGNAL
MPWR,https://www.tradingview.com/chart/?symbol=MPWR,"Monolithic Power Systems, Inc.",Technology,1642.39,80690618368,26.1,39.5,49.74,3.42,52.08,1463.5,1107.74,True,True,True,BULLISH TREND,False,60.52,POSITIVE,5,Has Monolithic Power Systems (MPWR) Outpaced Other Computer and Technology Stocks This Year? | Monolithic Power Systems Cloud Focus At COMPUTEX Puts Growth Story To Test | How The Story Around Monolithic Power Systems (MPWR) Is Evolving For Investors,117.06,54.46,491719136.0,0.543,19.57,22.98,80.04,BUY SIGNAL
ANET,https://www.tradingview.com/chart/?symbol=ANET,"Arista Networks, Inc.",Technology,164.82,207536308224,35.1,25.0,22.24,-3.17,64.16,151.87,140.83,True,True,True,BULLISH TREND,False,56.39,NEUTRAL,5,Arista Networks (ANET) Up 18.6% Since Last Earnings Report: Can It Continue? | ANET Rises 33.8% in a YTD: Is There More Room for the Stock to Grow? | Is It Too Late To Consider Arista Networks (ANET) After Its Strong 1-Year Rally?,56.64,37.04,4362237440.0,,31.52,38.32,79.96,BUY SIGNAL
TXN,https://www.tradingview.com/chart/?symbol=TXN,Texas Instruments Incorporated,Technology,306.01,278497492992,18.6,31.3,51.97,8.9,48.86,260.41,203.55,True,True,True,BULLISH TREND,False,56.24,NEUTRAL,5,Texas Instruments Stock Up 69% in Six Months: Should You Invest More? | Texas Instruments Stock's Rally Is Asking One Big Question | Can AVGO Stock Live Up To Its Multiple?,52.22,32.51,1068249984.0,83.741,32.35,29.11,79.7,BUY SIGNAL
JBL,https://www.tradingview.com/chart/?symbol=JBL,Jabil Inc.,Technology,375.915,39660019712,23.1,96.2,47.35,11.49,59.58,328.4,252.44,True,True,True,BULLISH TREND,False,56.2,NEUTRAL,5,Keysight vs. Sanmina: Which Electronics Stock Is a Better Buy Now? | Flex Fuels Growth via SpinCo Separation & Electrical Power Acquisition | 2 Reasons JBL is Risky and 1 Stock to Buy Instead,50.59,25.76,1203750016.0,328.91,59.7,2.48,79.45,BUY SIGNAL
AVGO,https://www.tradingview.com/chart/?symbol=AVGO,Broadcom Inc.,Technology,415.2,1965834371072,29.5,31.6,31.03,-2.85,42.9,397.0,354.44,True,True,True,BULLISH TREND,False,50.0,NEUTRAL,5,"Broadcom's sell-off just entered megacap history | Tech stocks today: Tech stocks tumble following Broadcom, CrowdStrike earnings | Broadcom earnings: How sustainable is the rally behind AI build-out?",69.32,21.78,25503750144.0,82.704,33.37,36.57,79.45,BUY SIGNAL
DDOG,https://www.tradingview.com/chart/?symbol=DDOG,"Datadog, Inc.",Technology,245.755,87479001088,32.2,104.0,107.69,68.64,68.52,163.82,146.54,True,True,True,BULLISH TREND,False,43.09,NEUTRAL,5,Stocks Retreat as US-Iran Peace Hopes in Doubt | Stock Market Today: Dow Drops 620 Points After Iran War Jitters; Broadcom Hits Highs | Stocks Fall on Escalation of US-Iran Hostilities,614.39,86.35,936726528.0,32.221,3.93,3.69,79.4,BUY SIGNAL
PWR,https://www.tradingview.com/chart/?symbol=PWR,"Quanta Services, Inc.",Industrials,717.9,107728183296,26.3,51.0,26.33,-6.96,33.42,663.2,507.42,True,True,True,BUY THE DIP,False,50.22,NEUTRAL,5,"MasTec Gains 69% in 6 Months: Should You Buy, Hold or Sell the Stock? | How The Quanta Services (PWR) Investment Story Is Evolving With Recent Developments | Argan Gears Up for Q1 Earnings: What's in the Offing for the Stock?",98.34,43.61,1037176768.0,69.121,13.53,3.67,79.37,BUY SIGNAL
AAPL,https://www.tradingview.com/chart/?symbol=AAPL,Apple Inc.,Technology,311.445,4574303748096,16.6,21.8,18.75,9.7,66.03,279.99,264.38,True,True,True,BULLISH TREND,False,65.21,POSITIVE,5,"Alphabet and Nvidia reveal a surprising truth about the 'Magnificent 7' stocks | Apple CEO Tim Cook explains why he's stepping down | Got $10,000? TSM vs Micron: The Better Buy in 2026",37.75,32.42,101090746368.0,79.548,141.47,27.15,78.67,BUY SIGNAL
CIEN,https://www.tradingview.com/chart/?symbol=CIEN,Ciena Corporation,Technology,523.225,73983188992,33.1,232.3,52.3,-3.95,40.66,515.77,292.15,True,True,True,BULLISH TREND,False,48.47,NEUTRAL,5,"Why Is CIEN Stock Falling Today? | Ciena Stock Falls On Fiscal Q2 Earnings As Guidance Underwhelms | Ciena reports fiscal Q2 earnings beat, shares slide on guidance",337.56,59.31,699300736.0,56.931,8.2,4.47,78.58,BUY SIGNAL
UAL,https://www.tradingview.com/chart/?symbol=UAL,"United Airlines Holdings, Inc.",Industrials,104.965,34068459520,10.6,84.5,4.46,12.06,60.42,96.73,101.78,True,True,False,BULLISH TREND,False,69.55,POSITIVE,5,"iHeartMedia, Sabre, and United Airlines Stocks Trade Down, What You Need To Know | Here's Why United Airlines (UAL) Fell More Than Broader Market | Delta Air Lines vs. United Airlines: Which Industrials Stock Is a Better Buy in 2026?",9.39,7.38,1647000064.0,195.081,25.73,6.06,78.41,BUY SIGNAL
TEL,https://www.tradingview.com/chart/?symbol=TEL,TE Connectivity plc,Technology,221.8,64742490112,14.5,7150.0,6.52,7.6,69.07,213.54,220.07,True,True,False,BULLISH TREND,False,57.43,NEUTRAL,5,"Why Is OSI (OSIS) Down 9.7% Since Last Earnings Report? | NVT Surges 53% in 3 Months: Should You Buy, Sell or Hold the Stock? | The Bull Case For TE Connectivity (TEL) Could Change Following Record Q2 EPS Beat And Broad-Based Growth",22.68,17.55,2322249984.0,43.798,22.72,15.54,78.24,BUY SIGNAL
GLW,https://www.tradingview.com/chart/?symbol=GLW,Corning Incorporated,Technology,197.81,170242768896,20.0,138.9,36.78,22.22,44.87,171.66,114.53,True,True,True,BULLISH TREND,False,52.71,NEUTRAL,5,"Ciena Stock Falls On Fiscal Q2 Earnings As Guidance Underwhelms | Ciena Stock Plummets After Earnings Beat. Why the CEO Isn’t Worried. | CIEN Q2 Earnings Beat on AI-Led Networking Demand, FY26 View Elevated",94.65,46.83,612000000.0,80.363,16.74,11.09,78.17,BUY SIGNAL
APH,https://www.tradingview.com/chart/?symbol=APH,Amphenol Corporation,Technology,146.7,180475396096,58.4,24.1,10.73,7.32,69.14,137.31,134.04,True,True,True,BULLISH TREND,False,56.98,NEUTRAL,5,"CRWD Q1 Earnings Surpass Estimates on ARR Strength, AI Demand | Amphenol Deepens AI Data Center Role With CommScope CCS Acquisition | Vertiv Soars 33% in Three Months: Should Investors Buy VRT Stock?",42.16,25.88,3563725056.0,133.051,36.83,17.24,77.41,BUY SIGNAL
MNST,https://www.tradingview.com/chart/?symbol=MNST,Monster Beverage Corporation,Consumer Defensive,89.66,87688208384,26.9,28.9,14.06,18.28,64.16,79.83,74.72,True,True,True,BULLISH TREND,False,63.85,POSITIVE,5,Monster Beverage's International Boom: Why Overseas Sales Hit 45% | Morgan Stanley resets Monster stock price target after earnings | Hedge Fund Broadwood Capital Added Over 1 Million Shares of STAAR Surgical to Its Position. Here's What That Means for Investors.,43.31,34.66,1684340480.0,1.082,26.65,23.11,77.21,BUY SIGNAL
DVA,https://www.tradingview.com/chart/?symbol=DVA,DaVita Inc.,Healthcare,192.575,12360426496,6.0,43.5,24.41,22.63,49.99,170.03,139.06,True,True,True,BULLISH TREND,False,71.43,POSITIVE,5,DaVita HealthCare (DVA) Up 0.6% Since Last Earnings Report: Can It Continue? | Best Growth Stocks to Buy for June 4th | How The DaVita (DVA) Story Is Shifting With New Analyst Targets And Valuation Assumptions,18.55,11.21,999662976.0,1261.331,80.98,5.65,76.51,BUY SIGNAL
ROK,https://www.tradingview.com/chart/?symbol=ROK,"Rockwell Automation, Inc.",Industrials,462.745,51491463168,11.9,39.6,21.08,6.48,54.37,415.89,385.33,True,True,True,BULLISH TREND,False,62.41,POSITIVE,5,"Rockwell Automation (ROK) Up 0.5% Since Last Earnings Report: Can It Continue? | DKILY or ROK: Which Is the Better Value Stock Right Now? | Hubbell, Rockwell Automation, and First Solar Shares Skyrocket, What You Need To Know",47.95,31.89,974499968.0,113.367,27.18,12.36,75.59,BUY SIGNAL
GEN,https://www.tradingview.com/chart/?symbol=GEN,Gen Digital Inc.,Technology,26.95,16235592704,27.0,265.2,21.55,37.47,76.47,21.22,24.72,True,True,False,WATCH - OVERBOUGHT,False,61.97,POSITIVE,5,"GE Vernova (GEV): Argus Raises Its Target to $1,300 After a Blowout Quarter | Gen Digital Bets On AI Browser Security To Support Norton Ecosystem | Gen Digital Inc. Q4 2026 Earnings Call Summary",17.17,8.2,1422249984.0,316.354,39.88,19.46,75.56,BUY SIGNAL
WST,https://www.tradingview.com/chart/?symbol=WST,"West Pharmaceutical Services, Inc.",Healthcare,320.44,22638315520,21.0,56.1,28.87,3.38,70.29,289.97,267.23,True,True,True,WATCH - OVERBOUGHT,False,54.77,NEUTRAL,5,Why Is Henry Schein (HSIC) Up 4.6% Since Last Earnings Report? | Stryker Launches TPX HD Power Tool for Complex Orthopedic Procedures | Here's Why You Should Add PacBio Stock to Your Portfolio Now,42.95,33.6,275662496.0,10.734,19.13,16.85,75.13,BUY SIGNAL
NEM,https://www.tradingview.com/chart/?symbol=NEM,Newmont Corporation,Basic Materials,109.24,116619460608,45.8,78.6,-8.27,0.44,40.0,111.46,100.56,False,True,True,NO CLEAR ENTRY,False,57.1,NEUTRAL,5,"Newmont (NEM) Is Among Gold Equities Trading At A Premium Valuation Relative To Peers, Says RBC Capital | Is It Too Late To Reassess Newmont (NEM) After Its 1 Year 96% Surge? | A Look At Newmont (NEM) Valuation As Shares Trade Near Estimated Fair Value",14.17,9.6,9804874752.0,15.762,25.83,33.87,74.62,WATCHLIST
ASML,https://www.tradingview.com/chart/?symbol=ASML,ASML Holding N.V.,Technology,1744.95,672534560768,13.2,19.2,24.97,20.93,66.69,1481.38,1210.87,True,True,True,BULLISH TREND,False,60.38,POSITIVE,5,Assessing ASML Holding (ENXTAM:ASML) Valuation After Strong Short Term Share Price Momentum | European tech stocks fall after Broadcom guidance cools AI optimism | TSMC Says It Isn’t Falling Behind in Next-Gen Chips,58.09,36.22,8243274752.0,12.989,52.24,29.71,74.38,WATCHLIST
KLAC,https://www.tradingview.com/chart/?symbol=KLAC,KLA Corporation,Technology,2115.02,276279820288,11.5,11.8,43.49,22.21,65.51,1773.35,1368.78,True,True,True,BULLISH TREND,False,63.04,POSITIVE,5,Flex (FLEX) Up 20.2% Since Last Earnings Report: Can It Continue? | Stocks Retreat as US-Iran Peace Hopes in Doubt | Stocks Fall on Escalation of US-Iran Hostilities,59.95,42.42,2890187008.0,105.4,94.98,35.66,73.69,WATCHLIST
GNRC,https://www.tradingview.com/chart/?symbol=GNRC,Generac Holdings Inc.,Industrials,280.965,16540038144,12.4,69.9,27.2,6.56,52.22,237.5,191.96,True,True,True,BULLISH TREND,False,59.34,NEUTRAL,5,"Generac Joins Data Center Fracas; Soars On Generator Deal With AI Hyperscaler | Is It Too Late To Consider Generac Holdings (GNRC) After A 102% Year To Date Surge? | Generac (GNRC) Stock Trades Up, Here Is Why",87.8,25.33,115297624.0,52.086,7.39,4.37,73.45,WATCHLIST
AMAT,https://www.tradingview.com/chart/?symbol=AMAT,"Applied Materials, Inc.",Technology,500.51,397384646656,11.4,33.5,40.07,21.95,71.31,406.84,298.11,True,True,True,WATCH - OVERBOUGHT,False,52.04,NEUTRAL,5,Mizuho Raises its Price Target on Lam Research (LRCX) | How The Applied Materials (AMAT) Narrative Is Evolving Without New Analyst Price Target Changes | Stocks Retreat as US-Iran Peace Hopes in Doubt,47.13,30.95,3040375040.0,30.399,39.69,29.31,73.41,WATCHLIST
META,https://www.tradingview.com/chart/?symbol=META,"Meta Platforms, Inc.",Communication Services,629.555,1598077009920,33.1,62.4,-5.64,4.07,54.71,619.6,662.54,True,False,False,NO CLEAR ENTRY,False,56.96,NEUTRAL,5,"Alphabet and Nvidia reveal a surprising truth about the 'Magnificent 7' stocks | Broadcom stock sinks 15% as AI chip forecast disappoints | Cathie Wood Buys 267,000 Shares of Surging Tech Stock",22.92,17.41,25558249472.0,35.608,32.93,32.84,73.16,WATCHLIST
A,https://www.tradingview.com/chart/?symbol=A,"Agilent Technologies, Inc.",Healthcare,138.96,39246745600,10.0,60.0,15.54,18.23,88.06,117.8,129.58,True,True,False,WATCH - OVERBOUGHT,False,50.0,NO NEWS,0,,27.96,21.04,930625024.0,49.733,21.33,19.55,73.15,WATCHLIST
CPAY,https://www.tradingview.com/chart/?symbol=CPAY,"Corpay, Inc.",Technology,358.06,23403489280,25.4,49.1,8.93,17.91,70.13,323.28,310.8,True,True,True,WATCH - OVERBOUGHT,False,57.43,NEUTRAL,5,Diversified Financial Services Stocks Q1 In Review: Corpay (NYSE:CPAY) Vs Peers | Do Wall Street Analysts Like Corpay Stock? | MarketBeat Week in Review – 05/18 - 05/22,21.44,11.7,2095142784.0,271.343,32.12,24.6,73.09,WATCHLIST
FTNT,https://www.tradingview.com/chart/?symbol=FTNT,"Fortinet, Inc.",Technology,148.315,108662743040,20.1,28.6,79.15,64.94,79.82,101.43,86.6,True,True,True,WATCH - OVERBOUGHT,False,55.21,NEUTRAL,5,Is CrowdStrike Stock A Great Business At A Dangerous Price? | Stocks Retreat as US-Iran Peace Hopes in Doubt | Stocks Fall on Escalation of US-Iran Hostilities,57.49,43.29,1813049984.0,57.31,132.39,27.49,73.02,WATCHLIST
PTC,https://www.tradingview.com/chart/?symbol=PTC,PTC Inc.,Technology,139.8794,16156879872,21.7,268.9,-14.17,1.69,50.04,140.84,170.62,False,False,False,NO CLEAR ENTRY,False,63.29,POSITIVE,5,2 Profitable Stocks Worth Your Attention and 1 That Underwhelm | Autodesk's International Expansion Accelerates: Is Growth Durable? | Autodesk Enhances AI Capabilities: Can It Unlock More Revenues?,13.44,16.18,986047232.0,35.78,34.4,41.58,72.86,WATCHLIST
EQT,https://www.tradingview.com/chart/?symbol=EQT,EQT Corporation,Energy,55.33,34607697920,49.9,490.0,-9.5,-5.51,44.58,58.41,56.28,False,False,True,NO CLEAR ENTRY,False,56.6,NEUTRAL,5,"Consolidation Wave Reshapes Energy Sector: 3 Stocks Vulnerable to Acquisition, Ranked | The Bull Case For EQT (EQT) Could Change Following Data Center‑Fueled Gas Demand Boosting Earnings – Learn Why | EQT’s New Digital Infrastructure Fund And What It Means For Valuation",10.5,11.94,2503225856.0,20.816,13.4,35.07,72.83,WATCHLIST
RL,https://www.tradingview.com/chart/?symbol=RL,Ralph Lauren Corporation,Consumer Cyclical,362.545,21577353216,16.6,20.0,1.04,0.7,63.6,359.14,343.47,True,True,True,BULLISH TREND,False,47.73,NEUTRAL,5,"PVH Q1 Earnings Top Estimates, FY26 Sales Outlook Cut, Stock Down | Tommy Hilfiger Owner PVH’s Stock Plummets. Blame the Iran War. | Buy Tapestry Stock to Profit From Gen Z’s Retro Tastes",24.01,17.8,656187520.0,105.913,34.66,11.6,72.82,WATCHLIST
LITE,https://www.tradingview.com/chart/?symbol=LITE,Lumentum Holdings Inc.,Technology,925.055,71969275904,90.1,,35.88,-6.99,43.89,881.25,474.59,True,True,True,HIGH CONVICTION DIP BUY,True,52.96,NEUTRAL,5,Lumentum Holdings (LITE) Announces $650.4 Million Private Share Exchange Transaction | Why Is Lumentum (LITE) Down 0.7% Since Last Earnings Report? | Is It Too Late To Consider Lumentum Holdings (LITE) After The US$2b Nvidia Investment?,161.72,51.11,93350000.0,111.445,22.83,17.68,72.79,WATCHLIST
