Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
ADI,https://www.tradingview.com/chart/?symbol=ADI,"Analog Devices, Inc.",Technology,406.34,197922947072,37.2,110.5,15.66,1.01,43.16,375.54,298.45,True,True,True,BULLISH TREND,False,61.89,POSITIVE,5,Want to Buy Analog Devices Inc (ADI) Stock? Listen to Argus First | Assessing Analog Devices (ADI) Valuation After Strong AI Data Center And Industrial Growth Update | Can CRUS' Audio Converter Launch Diversify Revenue Streams & Boost Sales?,60.65,27.5,3868954624.0,25.81,9.64,26.01,78.8,BUY SIGNAL
TER,https://www.tradingview.com/chart/?symbol=TER,"Teradyne, Inc.",Technology,368.89,57746841600,87.0,314.8,13.26,7.44,50.76,349.87,234.99,True,True,True,BULLISH TREND,False,50.0,ERROR,0,,68.44,38.78,298311264.0,2.621,28.75,22.55,78.75,BUY SIGNAL
TXN,https://www.tradingview.com/chart/?symbol=TXN,Texas Instruments Incorporated,Technology,292.19,265920020480,18.6,31.3,39.97,4.48,47.01,253.29,201.79,True,True,True,BULLISH TREND,False,43.81,NEUTRAL,5,"Texas Instruments Insiders Sold US$20m Of Shares Suggesting Hesitancy | I Think This Is the Most Misunderstood Tech Stock on the Market Right Now -- and That's Exactly Why I'm Buying | Tech Stars From the 90s Reborn: Nokia, Dell, Cisco Surge on AI",50.03,31.04,1068249984.0,83.741,32.35,29.11,78.7,BUY SIGNAL
CIEN,https://www.tradingview.com/chart/?symbol=CIEN,Ciena Corporation,Technology,565.935,80022323200,33.1,232.3,59.99,7.27,46.58,504.71,284.65,True,True,True,BULLISH TREND,False,50.0,NEUTRAL,5,Guidewire to Report Q3 Earnings: Here's What Investors Should Know | What Should Investors Do With Ciena Stock Ahead of Q2 Earnings? | Countdown to Ciena (CIEN) Q2 Earnings: A Look at Estimates Beyond Revenue and EPS,360.47,64.49,699300736.0,56.931,8.2,4.47,78.7,BUY SIGNAL
PWR,https://www.tradingview.com/chart/?symbol=PWR,"Quanta Services, Inc.",Industrials,689.4,103451467776,26.3,51.0,20.41,-5.27,25.14,654.46,502.43,True,True,True,BUY THE DIP,False,59.28,NEUTRAL,5,Can Water Infrastructure Demand Become EMCOR's Next Growth Driver? | Is Quanta's Data Center Exposure Turning Into Its Growth Catalyst? | Here's Why You Should Add MasTec Stock to Your Portfolio Right Now,94.96,41.93,1037176768.0,69.121,13.53,3.67,77.99,BUY SIGNAL
APP,https://www.tradingview.com/chart/?symbol=APP,AppLovin Corporation,Communication Services,609.755,204840796160,59.0,113.1,40.83,36.61,74.42,461.32,537.19,True,True,False,WATCH - OVERBOUGHT,False,67.61,POSITIVE,5,"3 Growth Stocks Insiders Are Betting On | S&P 500 Posts Monthly Gain to New High, Ninth Straight Weekly Rise | This Risk ETF Is Riding Its Best Seven-Day Stretch in a Year",52.88,27.81,3180097280.0,162.888,266.44,64.29,77.66,BUY SIGNAL
MNST,https://www.tradingview.com/chart/?symbol=MNST,Monster Beverage Corporation,Consumer Defensive,88.76,86808002560,26.9,28.9,9.5,15.17,60.09,78.9,74.35,True,True,True,BULLISH TREND,False,67.64,POSITIVE,5,Hedge Fund Broadwood Capital Added Over 1 Million Shares of STAAR Surgical to Its Position. Here's What That Means for Investors. | FMX or MNST: Which Is the Better Value Stock Right Now? | Walmart’s Pullback Has Created a Compelling Technical Setup,42.88,34.34,1684340480.0,1.082,26.65,23.11,77.51,BUY SIGNAL
UAL,https://www.tradingview.com/chart/?symbol=UAL,"United Airlines Holdings, Inc.",Industrials,111.13,36069433344,10.6,84.5,7.67,23.48,69.09,95.89,101.69,True,True,False,BULLISH TREND,False,55.69,NEUTRAL,5,"Oil prices rise, but not by enough to drag Wall Street far off its records | This Risk ETF Is Riding Its Best Seven-Day Stretch in a Year | 3 Profitable Stocks with Warning Signs",9.94,7.82,1647000064.0,195.081,25.73,6.06,77.31,BUY SIGNAL
FRT,https://www.tradingview.com/chart/?symbol=FRT,Federal Realty Investment Trust,Real Estate,119.21,10361542656,10.3,152.5,9.2,7.49,65.22,111.52,101.98,True,True,True,BULLISH TREND,False,66.65,POSITIVE,5,"Microsoft initiated, Dell upgraded: Wall Street's top analyst calls | Here Are Monday’s Top Wall Street Analyst Research Calls: Accenture, Caesars Entertainment, Carnival, Dell Technologies, IBM, Kohl’s, Microsoft, Zscaler, and More | BofA Raises Target on Federal Realty Investment Trust (FRT) after Reviewing Market Conditions",20.66,38.44,448925248.0,138.432,14.78,38.57,77.03,BUY SIGNAL
CAT,https://www.tradingview.com/chart/?symbol=CAT,Caterpillar Inc.,Industrials,862.4525,397238697984,22.2,30.2,14.86,-3.11,34.89,817.54,635.9,True,True,True,BULLISH TREND,False,63.91,POSITIVE,5,Analysts Raise Price Targets on Caterpillar (CAT) as Growth Drivers Strengthen | Market concentration is creating 'fragility':  Only 60% of S&P 500 stocks are above their 200-day average | Is Caterpillar Stock Outperforming the Nasdaq?,42.99,28.93,3776624896.0,230.793,51.33,13.33,75.86,BUY SIGNAL
GEN,https://www.tradingview.com/chart/?symbol=GEN,Gen Digital Inc.,Technology,27.435,16527772672,27.0,265.2,23.39,42.96,86.65,20.82,24.78,True,True,False,WATCH - OVERBOUGHT,False,61.97,POSITIVE,5,"GE Vernova (GEV): Argus Raises Its Target to $1,300 After a Blowout Quarter | Gen Digital Bets On AI Browser Security To Support Norton Ecosystem | Gen Digital Inc. Q4 2026 Earnings Call Summary",17.47,8.35,1422249984.0,316.354,39.88,19.46,75.56,BUY SIGNAL
DVA,https://www.tradingview.com/chart/?symbol=DVA,DaVita Inc.,Healthcare,190.355,12217935872,6.0,43.5,23.62,22.7,38.89,167.63,138.2,True,True,True,BULLISH TREND,False,57.31,NEUTRAL,5,DaVita and Arcosa have been highlighted as Zacks Bull and Bear of the Day | Bull of the Day: DaVita Inc. (DVA) | 1 S&P 500 Stock Worth Investigating and 2 That Underwhelm,18.34,11.08,999662976.0,1261.331,80.98,5.65,75.38,BUY SIGNAL
NEM,https://www.tradingview.com/chart/?symbol=NEM,Newmont Corporation,Basic Materials,107.57,114836652032,45.8,78.6,-16.07,-2.94,31.12,110.77,99.95,False,True,True,NO CLEAR ENTRY,False,58.62,NEUTRAL,5,Newmont’s 2025 ESG Reports Inform Safety And Valuation Considerations | Why Newmont Corporation (NEM) Outpaced the Stock Market Today | Barclays Maintains an “Overweight” Rating on Newmont Corporation (NEM),13.95,9.43,9804874752.0,15.762,25.83,33.87,74.74,WATCHLIST
CDNS,https://www.tradingview.com/chart/?symbol=CDNS,"Cadence Design Systems, Inc.",Technology,407.915,112509485056,18.7,23.0,34.47,23.76,69.57,324.39,323.38,True,True,True,BULLISH TREND,False,52.23,NEUTRAL,5,Software Stocks Gain After Nvidia CEO Dispels SaaSpocalypse Fears | AI ‘Virtual Engineer’ Has Slashed Chip Production Time. The Stock Is Rising. | Cadence Design Systems Inc (CDNS) Inks Licensing Deal With Lidar Maker Aeva,95.53,43.46,1499152256.0,46.992,20.66,21.18,74.73,WATCHLIST
ANET,https://www.tradingview.com/chart/?symbol=ANET,"Arista Networks, Inc.",Technology,170.59,214864674816,35.1,25.0,31.97,-1.2,78.53,149.53,140.31,True,True,True,WATCH - OVERBOUGHT,False,54.71,NEUTRAL,5,What Should Investors Do With Ciena Stock Ahead of Q2 Earnings? | Is This Under-the-Radar AI Stock a Buy Before Its Next Earnings Report? | Did Arista’s Upgraded Outlook and Surging AI Networking Demand Just Shift Arista Networks' (ANET) Investment Narrative?,58.84,38.35,4362237440.0,,31.52,38.32,74.73,WATCHLIST
EOG,https://www.tradingview.com/chart/?symbol=EOG,"EOG Resources, Inc.",Energy,136.65,72794341376,15.6,39.6,7.06,-2.77,55.95,137.5,118.16,False,True,True,NO CLEAR ENTRY,False,55.27,NEUTRAL,5,The 2 Signals That Will Determine XLE’s Performance Through Year-End | Dividend Stocks To Consider In May 2026 | Why ExxonMobil's Strong Balance Sheet Matters for Investors,13.45,9.32,2864250112.0,26.873,18.2,23.32,74.72,WATCHLIST
CB,https://www.tradingview.com/chart/?symbol=CB,Chubb Limited,Financial Services,310.47,120418926592,10.2,78.7,-9.15,-5.06,39.3,325.2,304.73,False,True,True,BUY THE DIP,False,51.55,NEUTRAL,5,CB Stock Trades Above 200-Day SMA: What Should Investors Do? | Here’s What Analysts Think About Chubb Limited (CB) | Piper Sandler Raises its Price Target on Chubb (CB),10.98,10.61,12622624768.0,31.458,15.43,18.53,74.62,WATCHLIST
DDOG,https://www.tradingview.com/chart/?symbol=DDOG,"Datadog, Inc.",Technology,276.75,98511986688,32.2,104.0,149.08,109.36,89.75,156.03,144.62,True,True,True,WATCH - OVERBOUGHT,False,73.26,POSITIVE,5,"Datadog FedRAMP High Win Puts Government Growth Story In Focus | Datadog (DDOG) Shares Skyrocket, What You Need To Know | These Were the Best and Worst S&P 500 Stocks in May",691.88,97.24,936726528.0,32.221,3.93,3.69,74.61,WATCHLIST
GLW,https://www.tradingview.com/chart/?symbol=GLW,Corning Incorporated,Technology,175.5,151041933312,20.0,138.9,11.34,7.02,32.89,167.6,112.51,True,True,True,BULLISH TREND,False,56.41,NEUTRAL,5,Nvidia Bets $6.5B on Photonics to Solve AI’s Next Big Bottleneck | Corning Incorporated (GLW): Leopold Aschenbrenner Discloses New Holding | Is It Too Late To Consider Corning (GLW) After Its 269% One Year Surge?,84.38,41.55,612000000.0,80.363,16.74,11.09,74.26,WATCHLIST
KLAC,https://www.tradingview.com/chart/?symbol=KLAC,KLA Corporation,Technology,1924.315,251368488960,11.5,11.8,25.53,10.08,56.48,1738.74,1350.76,True,True,True,BULLISH TREND,False,67.03,POSITIVE,5,Top 5 Stocks That Will Ride the Data Center Chip Equipment Supercycle | KLA (KLAC) Up 10.1% Since Last Earnings Report: Can It Continue? | Can KLA's Greenfield Fab Exposure Spark Multi-Year Revenue Growth?,54.42,38.6,2890187008.0,105.4,94.98,35.66,74.01,WATCHLIST
ROK,https://www.tradingview.com/chart/?symbol=ROK,"Rockwell Automation, Inc.",Industrials,452.42,50342563840,11.9,39.6,10.11,10.98,48.15,409.46,383.47,True,True,True,BULLISH TREND,False,66.42,POSITIVE,5,"DKILY or ROK: Which Is the Better Value Stock Right Now? | Hubbell, Rockwell Automation, and First Solar Shares Skyrocket, What You Need To Know | Assessing Rockwell Automation (ROK) Valuation After Recent Share Price Momentum And Planned US$2b Investment",47.08,31.17,974499968.0,113.367,27.18,12.36,73.81,WATCHLIST
TEL,https://www.tradingview.com/chart/?symbol=TEL,TE Connectivity plc,Technology,214.14,62477377536,14.5,7150.0,1.41,1.56,60.02,212.51,219.84,True,False,False,NO CLEAR ENTRY,False,61.83,POSITIVE,5,The Bull Case For TE Connectivity (TEL) Could Change Following Record Q2 EPS Beat And Broad-Based Growth | Why Is TE Connectivity (TEL) Down 7% Since Last Earnings Report? | Do Wall Street Analysts Like TE Connectivity Stock?,21.84,16.94,2322249984.0,43.798,22.72,15.54,73.8,WATCHLIST
FTNT,https://www.tradingview.com/chart/?symbol=FTNT,"Fortinet, Inc.",Technology,144.84,106116792320,20.1,28.6,82.92,71.79,82.18,97.38,85.55,True,True,True,WATCH - OVERBOUGHT,False,63.55,POSITIVE,5,10 Overvalued Stocks Are Ticking Time Bombs In Your Portfolio | Fortinet vs. CrowdStrike: What Comparing Revenue Trends Tells Investors | Stock Indexes Rally to Record Highs on Peace Deal Hopes and AI Spending,56.14,42.28,1813049984.0,57.31,132.39,27.49,73.68,WATCHLIST
RL,https://www.tradingview.com/chart/?symbol=RL,Ralph Lauren Corporation,Consumer Cyclical,368.39,21925226496,16.6,20.0,4.31,2.72,61.42,357.67,342.37,True,True,True,BULLISH TREND,False,57.6,NEUTRAL,5,Jim Cramer on Ralph Lauren: “The Company’s Merchandising Has Been Excellent” | The Spill: Is Ralph Lauren (RL) Finally Worth Its Premium Price? | 1 Profitable Stock for Long-Term Investors and 2 We Avoid,24.4,18.08,656187520.0,105.913,34.66,11.6,73.61,WATCHLIST
PLTR,https://www.tradingview.com/chart/?symbol=PLTR,Palantir Technologies Inc.,Technology,162.115,388664197120,84.7,325.0,11.67,16.55,75.9,141.92,161.67,True,True,False,WATCH - OVERBOUGHT,False,63.08,POSITIVE,5,"Palantir Technologies (PLTR): One of the Best Stocks to Buy Right Now According to AI | Palantir Eyes Buy Point As Software Stocks Extend Rally On Snowflake, Dell Earnings | Software Stocks Gain After Nvidia CEO Dispels SaaSpocalypse Fears",182.16,78.16,1752997120.0,2.477,32.59,43.67,73.35,WATCHLIST
META,https://www.tradingview.com/chart/?symbol=META,"Meta Platforms, Inc.",Communication Services,611.705,1552766205952,33.1,62.4,-6.32,-0.06,56.91,618.63,664.99,False,False,False,NO CLEAR ENTRY,False,57.51,NEUTRAL,5,"Meta, Alphabet, Amazon, and Microsoft are getting hooked on debt to fuel AI boom | Zigging when most are zagging, ex-Meta CTO raises $250M climate fund | This Smart‑Money Legend Won Big on Intel. The Rest of His Portfolio Might Be Even More Revealing",22.24,16.92,25558249472.0,35.608,32.93,32.84,73.2,WATCHLIST
PTC,https://www.tradingview.com/chart/?symbol=PTC,PTC Inc.,Technology,146.69,16943545344,21.7,268.9,-7.23,7.62,51.07,141.27,171.63,True,False,False,NO CLEAR ENTRY,False,63.29,POSITIVE,5,2 Profitable Stocks Worth Your Attention and 1 That Underwhelm | Autodesk's International Expansion Accelerates: Is Growth Durable? | Autodesk Enhances AI Capabilities: Can It Unlock More Revenues?,14.09,16.98,986047232.0,35.78,34.4,41.58,72.86,WATCHLIST
MO,https://www.tradingview.com/chart/?symbol=MO,"Altria Group, Inc.",Consumer Defensive,68.66,114654732288,5.3,106.3,1.63,-5.49,50.21,68.39,62.93,True,True,True,BUY THE DIP,False,64.98,POSITIVE,5,Carvana Is Out: This High-Yield Cash Cow Is the Ultimate Inflation-Beating Buy Right Now | Walmart’s Pullback Has Created a Compelling Technical Setup | Here is why Altria (MO) Is Among the Best Safest Dividend Stocks to Invest In,14.33,11.69,8542875136.0,,,39.52,72.7,WATCHLIST
EA,https://www.tradingview.com/chart/?symbol=EA,Electronic Arts Inc.,Communication Services,201.915,50630483968,11.9,85.3,0.52,-0.13,69.7,201.91,196.89,True,True,True,BULLISH TREND,False,70.51,POSITIVE,5,Assessing Whether Electronic Arts (EA) Looks Overvalued After Recent Steady Share Performance | Electronic Arts (EA) – Among the 10 Best Stocks to Buy from Billionaire George Soros’ Stock Portfolio | Highlights: What Betamax Teaches Us About AI – The Business of Entertainment: 2nd Princeton CorpGov Forum,57.53,21.03,2219124992.0,27.41,13.49,11.78,72.59,WATCHLIST
ASML,https://www.tradingview.com/chart/?symbol=ASML,ASML Holding N.V.,Technology,1631.68,628878344192,13.2,19.2,14.87,13.39,56.92,1459.46,1196.17,True,True,True,BULLISH TREND,False,63.39,POSITIVE,5,"‘We’re in the First or Second Inning’ of AI Revolution, Says Top Analyst | ASML And Tata Electronics Expand India Chip Ambitions And Investor Story | ASML Holding N.V. (ASML): Leopold Aschenbrenner Reveals New Position",54.39,34.2,8243274752.0,12.989,52.24,29.71,72.52,WATCHLIST
INCY,https://www.tradingview.com/chart/?symbol=INCY,Incyte Corporation,Healthcare,95.23,19025256448,20.9,83.8,-4.81,-0.04,25.36,95.91,95.75,False,False,True,NO CLEAR ENTRY,False,58.81,NEUTRAL,5,Why Is Agios Pharmaceuticals (AGIO) Up 8.6% Since Last Earnings Report? | JPMorgan says large-cap biotech is back as profits and pipelines fuel upside | Why Is Incyte (INCY) Down 1.8% Since Last Earnings Report?,13.45,10.5,558867008.0,0.701,30.82,26.71,72.5,WATCHLIST
